PLAYERS,R,B,4s,6s,SR,O,M,W,ECON,0s,WD,NB
Saim Ayub,58,35,1,6,165.71,,,,,,,
Gudakesh Motie,7,8,0,1,87.50,,,,,,,
Shai Hope,50,40,1,4,125.00,,,,,,,
Azam Khan,0,4,0,0,0.00,,,,,,,
Shimron Hetmyer,24,16,1,2,150.00,,,,,,,
Keemo Paul,23,10,1,2,230.00,,,,,,,
Romario Shepherd,2,3,0,0,66.66,,,,,,,
Odean Smith,0,1,0,0,0.00,,,,,,,
Dwaine Pretorius,0,1,0,0,0.00,,,,,,,
Junior Sinclair,1,1,0,0,100.00,,,,,,,
Imran Tahir,4,1,0,0,400.00,,,,,,,
Dwaine Pretorius,24,,2,1,,4.0,0.0,2.0,6.0,13.0,0.0,0.0
Gudakesh Motie,38,,2,3,,4.0,0.0,2.0,9.5,9.0,1.0,0.0
Romario Shepherd,48,,6,2,,4.0,0.0,1.0,12.0,7.0,2.0,0.0
Keemo Paul,2,,0,0,,1.0,0.0,1.0,2.0,4.0,0.0,0.0
Junior Sinclair,14,,3,0,,1.0,0.0,0.0,14.0,2.0,0.0,0.0
Imran Tahir,21,,0,1,,4.0,0.0,0.0,5.25,9.0,0.0,0.0
Odean Smith,24,,2,2,,2.0,0.0,1.0,12.0,4.0,0.0,0.0
Rahkeem Cornwall,8,6,0,1,133.33,,,,,,,
Kyle Mayers,16,13,1,2,123.07,,,,,,,
Laurie Evans,44,27,4,3,162.96,,,,,,,
Alick Athanaze,27,26,3,0,103.84,,,,,,,
Rovman Powell,39,19,3,3,205.26,,,,,,,
Jason Holder,4,7,0,0,57.14,,,,,,,
Justin Greaves,16,14,2,0,114.28,,,,,,,
Carlos Brathwaite,12,7,2,0,171.42,,,,,,,
Roelof van der Merwe,1,1,0,0,100.00,,,,,,,
Kyle Mayers,24,,0,1,,4.0,0.0,0.0,6.0,12.0,3.0,0.0
Rahkeem Cornwall,20,,1,2,,2.0,0.0,1.0,10.0,5.0,0.0,0.0
Jason Holder,37,,1,3,,4.0,0.0,2.0,9.25,10.0,0.0,0.0
Obed McCoy,25,,1,1,,3.0,0.0,2.0,8.33,6.0,2.0,0.0
Qais Ahmad,31,,0,4,,2.0,0.0,0.0,15.5,1.0,0.0,0.0
Carlos Brathwaite,27,,0,2,,4.0,0.0,4.0,6.75,11.0,2.0,0.0
Roelof van der Merwe,16,,1,2,,1.0,0.0,0.0,16.0,3.0,0.0,0.0
