PLAYERS,R,B,4s,6s,SR,O,M,W,ECON,0s,WD,NB
Saim Ayub,16,13,3,0,123.07,,,,,,,
Odean Smith,21,15,3,1,140.00,,,,,,,
Shai Hope,106,44,9,8,240.90,,,,,,,
Kevlon Anderson,47,39,2,1,120.51,,,,,,,
Azam Khan,9,4,2,0,225.00,,,,,,,
Shimron Hetmyer,16,5,2,1,320.00,,,,,,,
Dwaine Pretorius,0,1,0,0,0.00,,,,,,,
Shamar Joseph,0,1,0,0,0.00,,,,,,,
Gudakesh Motie,0,1,0,0,0.00,,,,,,,
"Did not bat: Ronsford Beaton, Imran Tahir","Did not bat: Ronsford Beaton, Imran Tahir (c)","Did not bat: Ronsford Beaton, Imran Tahir (c)","Did not bat: Ronsford Beaton, Imran Tahir (c)","Did not bat: Ronsford Beaton, Imran Tahir (c)","Did not bat: Ronsford Beaton, Imran Tahir (c)",,,,,,,
Dwaine Pretorius,5,,0,0,,2.0,0.0,1.0,2.5,8.0,0.0,0.0
Ronsford Beaton,42,,6,1,,4.0,0.0,0.0,10.5,7.0,0.0,0.0
Shamar Joseph,33,,6,0,,4.0,0.0,0.0,8.25,11.0,2.0,0.0
Gudakesh Motie,11,,0,0,,4.0,1.0,2.0,2.75,15.0,1.0,0.0
Imran Tahir,23,,2,0,,4.0,0.0,3.0,5.75,14.0,3.0,0.0
Odean Smith,22,,2,0,,2.0,0.0,0.0,11.0,2.0,1.0,0.0
Rahkeem Cornwall,6,9,1,0,66.66,,,,,,,
Justin Greaves,16,16,3,0,100.00,,,,,,,
Laurie Evans,13,10,2,0,130.00,,,,,,,
Alick Athanaze,6,11,1,0,54.54,,,,,,,
Rovman Powell,4,5,0,0,80.00,,,,,,,
Jason Holder,8,12,0,0,66.66,,,,,,,
Rivaldo Clarke,54,43,8,0,125.58,,,,,,,
Carlos Brathwaite,18,14,1,1,128.57,,,,,,,
Akeem Jordan,24,,4,0,,2.0,0.0,1.0,12.0,5.0,3.0,0.0
Jason Holder,50,,6,2,,4.0,0.0,2.0,12.5,6.0,0.0,1.0
Obed McCoy,36,,5,1,,4.0,0.0,2.0,9.0,11.0,0.0,2.0
Carlos Brathwaite,15,,1,0,,2.0,0.0,0.0,7.5,2.0,0.0,0.0
Qais Ahmad,43,,3,2,,4.0,0.0,0.0,10.75,3.0,0.0,0.0
Rahkeem Cornwall,55,,2,6,,4.0,0.0,0.0,13.75,5.0,0.0,0.0
