PLAYERS,R,B,4s,6s,SR,O,M,W,ECON,0s,WD,NB
Brandon King,1,6,0,0,16.66,,,,,,,
Alex Hales,12,10,2,0,120.00,,,,,,,
Kirk McKenzie,7,11,1,0,63.63,,,,,,,
Shamarh Brooks,78,41,7,4,190.24,,,,,,,
Raymon Reifer,16,20,1,0,80.00,,,,,,,
Imad Wasim,33,24,2,2,137.50,,,,,,,
Fabian Allen,2,4,0,0,50.00,,,,,,,
Chris Green,2,4,0,0,50.00,,,,,,,
Mohammad Amir,23,,3,0,,4.0,1.0,0.0,5.75,13.0,1.0,0.0
Chris Green,21,,3,0,,4.0,0.0,2.0,5.25,14.0,1.0,0.0
Salman Irshad,37,,3,1,,4.0,0.0,1.0,9.25,6.0,1.0,0.0
Imad Wasim,36,,4,2,,3.0,0.0,1.0,12.0,5.0,0.0,0.0
Nicholson Gordon,37,,4,1,,4.0,0.0,0.0,9.25,6.0,0.0,0.0
Rahkeem Cornwall,17,15,2,1,113.33,,,,,,,
Kyle Mayers,4,14,1,0,28.57,,,,,,,
Laurie Evans,30,26,4,0,115.38,,,,,,,
Alick Athanaze,76,48,7,3,158.33,,,,,,,
Rovman Powell,10,8,1,0,125.00,,,,,,,
Jason Holder,9,3,2,0,300.00,,,,,,,
"Did not bat: Rivaldo Clarke, Nyeem Young, Roelof van der Merwe, Qais Ahmad, Obed McCoy","Did not bat: Rivaldo Clarke †, Nyeem Young, Roelof van der Merwe, Qais Ahmad, Obed McCoy","Did not bat: Rivaldo Clarke †, Nyeem Young, Roelof van der Merwe, Qais Ahmad, Obed McCoy","Did not bat: Rivaldo Clarke †, Nyeem Young, Roelof van der Merwe, Qais Ahmad, Obed McCoy","Did not bat: Rivaldo Clarke †, Nyeem Young, Roelof van der Merwe, Qais Ahmad, Obed McCoy","Did not bat: Rivaldo Clarke †, Nyeem Young, Roelof van der Merwe, Qais Ahmad, Obed McCoy",,,,,,,
Kyle Mayers,8,,0,0,,3.0,0.0,1.0,2.66,11.0,0.0,0.0
Jason Holder,19,,2,0,,4.0,0.0,2.0,4.75,13.0,1.0,0.0
Obed McCoy,35,,3,2,,3.0,0.0,0.0,11.66,4.0,0.0,0.0
Qais Ahmad,42,,5,2,,4.0,0.0,2.0,10.5,10.0,0.0,0.0
Nyeem Young,23,,2,0,,3.0,0.0,0.0,7.66,5.0,2.0,0.0
Roelof van der Merwe,28,,1,2,,3.0,0.0,1.0,9.33,4.0,0.0,0.0
