PLAYERS,R,B,4s,6s,SR,O,M,W,ECON,0s,WD,NB
Andre Fletcher,51,38,5,3,134.21,,,,,,,
Evin Lewis,8,7,0,1,114.28,,,,,,,
Joshua Da Silva,5,7,0,0,71.42,,,,,,,
Sherfane Rutherford,28,20,1,2,140.00,,,,,,,
Jyd Goolie,11,11,2,0,100.00,,,,,,,
Ambati Rayudu,15,13,1,1,115.38,,,,,,,
Dominic Drakes,20,14,1,1,142.85,,,,,,,
Corbin Bosch,38,12,4,3,316.66,,,,,,,
Ashmead Nedd,36,,3,1,,4.0,0.0,1.0,9.0,5.0,0.0,0.0
Corbin Bosch,28,,2,2,,3.0,0.0,1.0,9.33,7.0,1.0,0.0
Oshane Thomas,48,,5,3,,3.3,0.0,0.0,13.71,5.0,1.0,0.0
Dominic Drakes,37,,3,3,,3.0,0.0,2.0,12.33,7.0,2.0,0.0
Izharulhaq Naveed,34,,2,2,,4.0,0.0,0.0,8.5,9.0,3.0,0.0
Sherfane Rutherford,17,,0,2,,1.0,0.0,0.0,17.0,0.0,1.0,0.0
Rahkeem Cornwall,38,15,3,4,253.33,,,,,,,
Kyle Mayers,31,17,4,1,182.35,,,,,,,
Jason Holder,24,20,2,1,120.00,,,,,,,
Alick Athanaze,30,28,1,2,107.14,,,,,,,
Rovman Powell,67,29,5,5,231.03,,,,,,,
Nyeem Young,2,2,0,0,100.00,,,,,,,
"Did not bat: Justin Greaves, Kevin Wickham, Roelof van der Merwe, Qais Ahmad, Obed McCoy","Did not bat: Justin Greaves, Kevin Wickham †, Roelof van der Merwe, Qais Ahmad, Obed McCoy","Did not bat: Justin Greaves, Kevin Wickham †, Roelof van der Merwe, Qais Ahmad, Obed McCoy","Did not bat: Justin Greaves, Kevin Wickham †, Roelof van der Merwe, Qais Ahmad, Obed McCoy","Did not bat: Justin Greaves, Kevin Wickham †, Roelof van der Merwe, Qais Ahmad, Obed McCoy","Did not bat: Justin Greaves, Kevin Wickham †, Roelof van der Merwe, Qais Ahmad, Obed McCoy",,,,,,,
Kyle Mayers,23,,2,2,,2.0,0.0,0.0,11.5,5.0,0.0,0.0
Jason Holder,30,,2,2,,3.1,0.0,0.0,9.47,6.0,0.0,0.0
Rahkeem Cornwall,23,,1,2,,2.0,0.0,1.0,11.5,6.0,2.0,0.0
Obed McCoy,32,,5,0,,4.0,0.0,0.0,8.0,10.0,3.0,0.0
Qais Ahmad,16,,0,0,,4.0,0.0,2.0,4.0,12.0,1.0,0.0
Roelof van der Merwe,9,,0,1,,1.0,0.0,0.0,9.0,2.0,0.0,0.0
Nyeem Young,54,,4,4,,3.5,0.0,2.0,14.08,7.0,2.0,2.0
