PLAYERS,R,B,4s,6s,SR,O,M,W,ECON,0s,WD,NB
Colin Munro,33,27,5,0,122.22,,,,,,,
Johnson Charles,78,52,6,5,150.00,,,,,,,
Sean Williams,5,4,1,0,125.00,,,,,,,
Shadrack Descarte,8,10,0,0,80.00,,,,,,,
Roshon Primus,19,9,0,2,211.11,,,,,,,
Sikandar Raza,18,8,0,2,225.00,,,,,,,
Roston Chase,11,5,2,0,220.00,,,,,,,
Matthew Forde,7,6,1,0,116.66,,,,,,,
Matthew Forde,28,,2,2,,3.0,0.0,1.0,9.33,10.0,3.0,0.0
Alzarri Joseph,7,,1,0,,2.3,0.0,3.0,2.8,11.0,0.0,0.0
Roshon Primus,11,,1,0,,2.0,0.0,2.0,5.5,7.0,1.0,0.0
Sikandar Raza,21,,1,0,,3.0,0.0,1.0,7.0,6.0,1.0,0.0
Khary Pierre,28,,0,3,,3.0,0.0,1.0,9.33,7.0,0.0,0.0
Peter Hatzoglou,4,,0,0,,3.0,0.0,2.0,1.33,15.0,1.0,0.0
Roston Chase,4,,0,0,,1.0,0.0,0.0,4.0,3.0,0.0,0.0
Rahkeem Cornwall,18,14,1,2,128.57,,,,,,,
Kyle Mayers,0,1,0,0,0.00,,,,,,,
Alick Athanaze,4,11,0,0,36.36,,,,,,,
Laurie Evans,0,1,0,0,0.00,,,,,,,
Rovman Powell,5,6,1,0,83.33,,,,,,,
Jason Holder,18,11,1,1,163.63,,,,,,,
Nyeem Young,20,31,0,1,64.51,,,,,,,
Rivaldo Clarke,4,13,0,0,30.76,,,,,,,
Roelof van der Merwe,11,11,1,0,100.00,,,,,,,
Qais Ahmad,9,4,0,1,225.00,,,,,,,
Obed McCoy,4,2,1,0,200.00,,,,,,,
Kyle Mayers,30,,4,0,,3.0,0.0,0.0,10.0,8.0,2.0,0.0
Jason Holder,40,,4,2,,4.0,0.0,2.0,10.0,9.0,0.0,1.0
Obed McCoy,37,,2,3,,3.0,0.0,1.0,12.33,9.0,4.0,0.0
Qais Ahmad,15,,0,1,,2.0,0.0,0.0,7.5,3.0,0.0,0.0
Roelof van der Merwe,40,,4,2,,4.0,0.0,3.0,10.0,7.0,0.0,0.0
Nyeem Young,31,,1,1,,4.0,0.0,0.0,7.75,7.0,1.0,0.0
