PLAYERS,R,B,4s,6s,SR,O,M,W,ECON,0s,WD,NB
Martin Guptill,37,30,5,0,123.33,,,,,,,
Mark Deyal,6,4,1,0,150.00,,,,,,,
Nicholas Pooran,102,53,5,10,192.45,,,,,,,
Kieron Pollard,2,2,0,0,100.00,,,,,,,
Lorcan Tucker,8,7,1,0,114.28,,,,,,,
Andre Russell,39,22,2,4,177.27,,,,,,,
Akeal Hosein,1,3,0,0,33.33,,,,,,,
Sunil Narine,0,0,0,0,-,,,,,,,
Akeal Hosein,21,,2,0,,3.0,0.0,2.0,7.0,8.0,2.0,0.0
Jayden Seales,32,,4,1,,3.0,0.0,0.0,10.66,6.0,0.0,0.0
Ali Khan,25,,4,0,,3.0,0.0,1.0,8.33,8.0,2.0,0.0
Andre Russell,26,,1,3,,3.0,0.0,1.0,8.66,10.0,0.0,0.0
Sunil Narine,41,,3,3,,4.0,1.0,1.0,10.25,11.0,0.0,2.0
Waqar Salamkheil,18,,1,1,,4.0,0.0,2.0,4.5,15.0,1.0,0.0
Kyle Mayers,70,45,7,4,155.55,,,,,,,
Rahkeem Cornwall,4,2,1,0,200.00,,,,,,,
Laurie Evans,20,23,2,1,86.95,,,,,,,
Rovman Powell,9,11,0,1,81.81,,,,,,,
Alick Athanaze,7,11,1,0,63.63,,,,,,,
Jason Holder,19,10,2,1,190.00,,,,,,,
Nyeem Young,3,7,0,0,42.85,,,,,,,
Roelof van der Merwe,20,9,2,1,222.22,,,,,,,
Qais Ahmad,4,4,0,0,100.00,,,,,,,
"Did not bat: Rivaldo Clarke, Obed McCoy","Did not bat: Rivaldo Clarke †, Obed McCoy","Did not bat: Rivaldo Clarke †, Obed McCoy","Did not bat: Rivaldo Clarke †, Obed McCoy","Did not bat: Rivaldo Clarke †, Obed McCoy","Did not bat: Rivaldo Clarke †, Obed McCoy",,,,,,,
Kyle Mayers,36,,4,2,,3.0,0.0,1.0,12.0,7.0,1.0,0.0
Jason Holder,39,,2,3,,4.0,0.0,2.0,9.75,7.0,1.0,0.0
Obed McCoy,42,,3,3,,4.0,0.0,0.0,10.5,11.0,1.0,1.0
Qais Ahmad,26,,1,2,,4.0,0.0,1.0,6.5,11.0,0.0,0.0
Rahkeem Cornwall,29,,2,1,,3.0,0.0,1.0,9.66,3.0,1.0,0.0
Nyeem Young,32,,2,3,,2.0,0.0,0.0,16.0,5.0,3.0,0.0
