PLAYERS,R,B,4s,6s,SR,O,M,W,ECON,0s,WD,NB
Brandon King,52,32,10,1,162.50,,,,,,,
Alex Hales,9,10,2,0,90.00,,,,,,,
Kirk McKenzie,13,13,0,1,100.00,,,,,,,
Imad Wasim,18,26,1,0,69.23,,,,,,,
Shamarh Brooks,10,12,0,0,83.33,,,,,,,
Raymon Reifer,20,14,3,0,142.85,,,,,,,
Fabian Allen,21,14,0,2,150.00,,,,,,,
Chris Green,32,,3,0,,4.0,0.0,1.0,8.0,9.0,2.0,0.0
Salman Irshad,27,,2,1,,3.0,0.0,1.0,9.0,7.0,3.0,0.0
Shamar Springer,23,,2,0,,4.0,0.0,1.0,5.75,9.0,0.0,0.0
Nicholson Gordon,28,,2,2,,2.0,0.0,0.0,14.0,1.0,0.0,0.0
Imad Wasim,20,,2,0,,3.3,0.0,0.0,5.71,8.0,0.0,0.0
Fabian Allen,22,,0,2,,2.0,0.0,0.0,11.0,3.0,0.0,0.0
Saim Ayub,85,53,5,5,160.37,,,,,,,
Matthew Nandu,37,35,4,0,105.71,,,,,,,
Shai Hope,16,17,1,0,94.11,,,,,,,
Azam Khan,1,5,0,0,20.00,,,,,,,
Odean Smith,4,1,1,0,400.00,,,,,,,
"Did not bat: Shimron Hetmyer, Keemo Paul, Romario Shepherd, Dwaine Pretorius, Gudakesh Motie, Imran Tahir","Did not bat: Shimron Hetmyer, Keemo Paul, Romario Shepherd, Dwaine Pretorius, Gudakesh Motie, Imran Tahir (c)","Did not bat: Shimron Hetmyer, Keemo Paul, Romario Shepherd, Dwaine Pretorius, Gudakesh Motie, Imran Tahir (c)","Did not bat: Shimron Hetmyer, Keemo Paul, Romario Shepherd, Dwaine Pretorius, Gudakesh Motie, Imran Tahir (c)","Did not bat: Shimron Hetmyer, Keemo Paul, Romario Shepherd, Dwaine Pretorius, Gudakesh Motie, Imran Tahir (c)","Did not bat: Shimron Hetmyer, Keemo Paul, Romario Shepherd, Dwaine Pretorius, Gudakesh Motie, Imran Tahir (c)",,,,,,,
Dwaine Pretorius,33,,5,1,,4.0,0.0,2.0,8.25,12.0,1.0,0.0
Romario Shepherd,19,,3,1,,2.0,0.0,1.0,9.5,7.0,0.0,0.0
Keemo Paul,19,,1,0,,3.0,0.0,0.0,6.33,5.0,0.0,0.0
Odean Smith,33,,5,0,,3.0,0.0,0.0,11.0,8.0,2.0,1.0
Imran Tahir,19,,0,1,,4.0,0.0,1.0,4.75,11.0,1.0,0.0
Gudakesh Motie,29,,2,1,,4.0,0.0,1.0,7.25,9.0,0.0,0.0
