PLAYERS,R,B,4s,6s,SR,O,M,W,ECON,0s,WD,NB
Saim Ayub,20,15,3,0,133.33,,,,,,,
Kevlon Anderson,4,5,1,0,80.00,,,,,,,
Shai Hope,40,33,4,0,121.21,,,,,,,
Shimron Hetmyer,31,29,2,1,106.89,,,,,,,
Azam Khan,54,27,5,4,200.00,,,,,,,
Romario Shepherd,15,8,1,1,187.50,,,,,,,
Odean Smith,0,1,0,0,0.00,,,,,,,
Dwaine Pretorius,5,2,1,0,250.00,,,,,,,
"Did not bat: Gudakesh Motie, Imran Tahir, Ronsford Beaton","Did not bat: Gudakesh Motie, Imran Tahir (c), Ronsford Beaton","Did not bat: Gudakesh Motie, Imran Tahir (c), Ronsford Beaton","Did not bat: Gudakesh Motie, Imran Tahir (c), Ronsford Beaton","Did not bat: Gudakesh Motie, Imran Tahir (c), Ronsford Beaton","Did not bat: Gudakesh Motie, Imran Tahir (c), Ronsford Beaton",,,,,,,
Dwaine Pretorius,21,,2,0,,4.0,0.0,2.0,5.25,14.0,2.0,0.0
Romario Shepherd,15,,1,0,,2.0,0.0,1.0,7.5,6.0,1.0,0.0
Imran Tahir,7,,0,0,,2.2,0.0,3.0,3.0,9.0,0.0,0.0
Ronsford Beaton,10,,0,0,,2.0,0.0,1.0,5.0,8.0,5.0,0.0
Gudakesh Motie,26,,1,2,,3.0,0.0,1.0,8.66,8.0,0.0,0.0
Odean Smith,20,,3,0,,2.0,0.0,1.0,10.0,5.0,3.0,0.0
Brandon King,5,9,0,0,55.55,,,,,,,
Alex Hales,15,15,2,0,100.00,,,,,,,
Steven Taylor,4,10,0,0,40.00,,,,,,,
Shamarh Brooks,1,2,0,0,50.00,,,,,,,
Raymon Reifer,0,2,0,0,0.00,,,,,,,
Imad Wasim,43,33,5,1,130.30,,,,,,,
Shamar Springer,1,3,0,0,33.33,,,,,,,
Fabian Allen,11,10,0,1,110.00,,,,,,,
Chris Green,4,4,0,0,100.00,,,,,,,
Nicholson Gordon,0,4,0,0,0.00,,,,,,,
Mohammad Amir,-,-,-,-,-,,,,,,,
Mohammad Amir,28,,3,2,,3.0,0.0,1.0,9.33,10.0,1.0,0.0
Chris Green,24,,3,0,,4.0,0.0,0.0,6.0,10.0,1.0,0.0
Shamar Springer,40,,6,0,,4.0,0.0,2.0,10.0,5.0,1.0,0.0
Imad Wasim,20,,2,1,,2.0,0.0,0.0,10.0,3.0,0.0,0.0
Nicholson Gordon,27,,1,1,,4.0,0.0,2.0,6.75,8.0,1.0,0.0
Raymon Reifer,35,,2,2,,3.0,0.0,1.0,11.66,2.0,1.0,0.0
