PLAYERS,R,B,4s,6s,SR,O,M,W,ECON,0s,WD,NB
Saim Ayub,21,13,3,1,161.53,,,,,,,
Hazratullah Zazai,7,8,1,0,87.50,,,,,,,
Shai Hope,13,11,2,0,118.18,,,,,,,
Azam Khan,6,11,0,1,54.54,,,,,,,
Shimron Hetmyer,36,22,1,3,163.63,,,,,,,
Keemo Paul,41,31,1,3,132.25,,,,,,,
Dwaine Pretorius,27,20,2,1,135.00,,,,,,,
Romario Shepherd,26,7,1,3,371.42,,,,,,,
"Did not bat: Gudakesh Motie, Imran Tahir, Junior Sinclair","Did not bat: Gudakesh Motie, Imran Tahir (c), Junior Sinclair","Did not bat: Gudakesh Motie, Imran Tahir (c), Junior Sinclair","Did not bat: Gudakesh Motie, Imran Tahir (c), Junior Sinclair","Did not bat: Gudakesh Motie, Imran Tahir (c), Junior Sinclair","Did not bat: Gudakesh Motie, Imran Tahir (c), Junior Sinclair",,,,,,,
Romario Shepherd,19,,2,1,,2.0,0.0,1.0,9.5,6.0,2.0,0.0
Dwaine Pretorius,17,,2,0,,3.0,0.0,3.0,5.66,9.0,0.0,0.0
Keemo Paul,6,,1,0,,1.0,0.0,0.0,6.0,3.0,0.0,0.0
Gudakesh Motie,15,,0,0,,4.0,0.0,2.0,3.75,10.0,0.0,0.0
Imran Tahir,18,,0,1,,3.1,0.0,0.0,5.68,7.0,0.0,0.0
Junior Sinclair,10,,0,0,,3.0,0.0,1.0,3.33,9.0,0.0,0.0
Saim Ayub,2,,0,0,,1.0,0.0,1.0,2.0,4.0,0.0,0.0
Andre Fletcher,11,6,1,1,183.33,,,,,,,
Evin Lewis,7,9,1,0,77.77,,,,,,,
Will Smeed,2,4,0,0,50.00,,,,,,,
George Linde,13,16,2,0,81.25,,,,,,,
Sherfane Rutherford,2,2,0,0,100.00,,,,,,,
Corbin Bosch,27,27,1,1,100.00,,,,,,,
Yannic Cariah,13,16,0,0,81.25,,,,,,,
Benny Howell,2,3,0,0,66.66,,,,,,,
Dominic Drakes,6,15,0,0,40.00,,,,,,,
Johann Layne,1,3,0,0,33.33,,,,,,,
Oshane Thomas,1,2,0,0,50.00,,,,,,,
Johann Layne,17,,2,1,,2.0,0.0,0.0,8.5,6.0,0.0,0.0
Corbin Bosch,31,,4,0,,3.0,0.0,1.0,10.33,5.0,1.0,0.0
Oshane Thomas,26,,2,1,,3.0,0.0,3.0,8.66,8.0,1.0,3.0
George Linde,18,,0,2,,3.0,0.0,1.0,6.0,10.0,0.0,0.0
Dominic Drakes,45,,2,4,,4.0,0.0,1.0,11.25,9.0,1.0,0.0
Benny Howell,18,,0,1,,2.0,0.0,0.0,9.0,2.0,0.0,0.0
Yannic Cariah,28,,1,3,,3.0,0.0,0.0,9.33,8.0,0.0,0.0
