PLAYERS,R,B,4s,6s,SR,O,M,W,ECON,0s,WD,NB
Saim Ayub,16,20,3,0,80.00,,,,,,,
Matthew Nandu,3,11,0,0,27.27,,,,,,,
Shai Hope,38,35,5,0,108.57,,,,,,,
Azam Khan,40,25,4,3,160.00,,,,,,,
Shimron Hetmyer,19,12,1,1,158.33,,,,,,,
Keemo Paul,19,13,1,2,146.15,,,,,,,
Romario Shepherd,10,4,1,1,250.00,,,,,,,
"Did not bat: Dwaine Pretorius, Odean Smith, Gudakesh Motie, Imran Tahir","Did not bat: Dwaine Pretorius, Odean Smith, Gudakesh Motie, Imran Tahir (c)","Did not bat: Dwaine Pretorius, Odean Smith, Gudakesh Motie, Imran Tahir (c)","Did not bat: Dwaine Pretorius, Odean Smith, Gudakesh Motie, Imran Tahir (c)","Did not bat: Dwaine Pretorius, Odean Smith, Gudakesh Motie, Imran Tahir (c)","Did not bat: Dwaine Pretorius, Odean Smith, Gudakesh Motie, Imran Tahir (c)",,,,,,,
Dwaine Pretorius,26,,5,0,,4.0,0.0,0.0,6.5,14.0,1.0,0.0
Romario Shepherd,15,,2,1,,2.0,0.0,1.0,7.5,8.0,0.0,0.0
Keemo Paul,39,,4,1,,4.0,0.0,1.0,9.75,8.0,1.0,2.0
Imran Tahir,34,,3,1,,4.0,0.0,1.0,8.5,7.0,0.0,0.0
Odean Smith,25,,2,2,,1.3,0.0,0.0,16.66,1.0,1.0,0.0
Gudakesh Motie,28,,2,2,,2.0,0.0,0.0,14.0,2.0,0.0,0.0
Johnson Charles,1,2,0,0,50.00,,,,,,,
Colin Munro,55,43,6,2,127.90,,,,,,,
Bhanuka Rajapaksa,86,49,9,5,175.51,,,,,,,
Sean Williams,8,7,1,0,114.28,,,,,,,
Sikandar Raza,12,6,2,0,200.00,,,,,,,
Matthew Forde,18,,2,0,,4.0,0.0,1.0,4.5,15.0,2.0,0.0
Roston Chase,7,,1,0,,2.0,0.0,0.0,3.5,8.0,0.0,0.0
Alzarri Joseph,31,,3,2,,4.0,0.0,2.0,7.75,15.0,2.0,0.0
Sikandar Raza,14,,0,0,,3.0,0.0,1.0,4.66,7.0,1.0,0.0
McKenny Clarke,42,,6,2,,3.0,0.0,0.0,14.0,7.0,1.0,0.0
Peter Hatzoglou,43,,3,3,,4.0,0.0,0.0,10.75,10.0,2.0,0.0
