PLAYERS,R,B,4s,6s,SR,O,M,W,ECON,0s,WD,NB
Martin Guptill,15,20,2,0,75.00,,,,,,,
Mark Deyal,1,3,0,0,33.33,,,,,,,
Nicholas Pooran,18,15,1,1,120.00,,,,,,,
Lorcan Tucker,38,25,5,0,152.00,,,,,,,
Akeal Hosein,44,35,2,3,125.71,,,,,,,
Andre Russell,14,7,0,2,200.00,,,,,,,
Kieron Pollard,25,12,3,1,208.33,,,,,,,
Terrance Hinds,4,2,1,0,200.00,,,,,,,
Sunil Narine,4,2,1,0,200.00,,,,,,,
Mark Deyal,7,,1,0,,1.0,0.0,0.0,7.0,3.0,0.0,0.0
Ali Khan,30,,2,1,,4.0,0.0,2.0,7.5,12.0,3.0,0.0
Andre Russell,29,,3,2,,3.1,0.0,2.0,9.15,10.0,1.0,0.0
Sunil Narine,29,,3,1,,4.0,0.0,0.0,7.25,12.0,0.0,0.0
Akeal Hosein,25,,2,2,,2.0,0.0,0.0,12.5,3.0,0.0,0.0
Terrance Hinds,14,,0,2,,1.0,0.0,0.0,14.0,2.0,0.0,0.0
Waqar Salamkheil,39,,1,3,,4.0,0.0,0.0,9.75,7.0,0.0,0.0
Saim Ayub,62,43,4,4,144.18,,,,,,,
Chandrapaul Hemraj,10,10,2,0,100.00,,,,,,,
Shai Hope,51,40,3,3,127.50,,,,,,,
Azam Khan,29,14,2,3,207.14,,,,,,,
Shimron Hetmyer,13,7,1,1,185.71,,,,,,,
Romario Shepherd,0,1,0,0,0.00,,,,,,,
"Did not bat: Keemo Paul, Dwaine Pretorius, Odean Smith, Gudakesh Motie, Imran Tahir","Did not bat: Keemo Paul, Dwaine Pretorius, Odean Smith, Gudakesh Motie, Imran Tahir (c)","Did not bat: Keemo Paul, Dwaine Pretorius, Odean Smith, Gudakesh Motie, Imran Tahir (c)","Did not bat: Keemo Paul, Dwaine Pretorius, Odean Smith, Gudakesh Motie, Imran Tahir (c)","Did not bat: Keemo Paul, Dwaine Pretorius, Odean Smith, Gudakesh Motie, Imran Tahir (c)","Did not bat: Keemo Paul, Dwaine Pretorius, Odean Smith, Gudakesh Motie, Imran Tahir (c)",,,,,,,
Dwaine Pretorius,48,,5,2,,4.0,0.0,0.0,12.0,7.0,1.0,0.0
Romario Shepherd,39,,3,2,,4.0,0.0,1.0,9.75,9.0,3.0,1.0
Keemo Paul,17,,3,0,,2.0,0.0,1.0,8.5,4.0,0.0,0.0
Gudakesh Motie,15,,2,0,,2.0,0.0,0.0,7.5,4.0,0.0,0.0
Imran Tahir,19,,1,1,,4.0,0.0,1.0,4.75,13.0,0.0,0.0
Odean Smith,31,,1,2,,4.0,0.0,3.0,7.75,8.0,1.0,0.0
