PLAYERS,R,B,4s,6s,SR,O,M,W,ECON,0s,WD,NB
Saim Ayub,49,39,4,1,125.64,,,,,,,
Odean Smith,15,18,2,0,83.33,,,,,,,
Shai Hope,2,5,0,0,40.00,,,,,,,
Azam Khan,36,27,3,1,133.33,,,,,,,
Shimron Hetmyer,0,2,0,0,0.00,,,,,,,
Dwaine Pretorius,15,13,1,1,115.38,,,,,,,
Romario Shepherd,16,6,2,1,266.66,,,,,,,
Kevlon Anderson,2,2,0,0,100.00,,,,,,,
Gudakesh Motie,19,8,1,2,237.50,,,,,,,
"Did not bat: Shamar Joseph, Imran Tahir","Did not bat: Shamar Joseph, Imran Tahir (c)","Did not bat: Shamar Joseph, Imran Tahir (c)","Did not bat: Shamar Joseph, Imran Tahir (c)","Did not bat: Shamar Joseph, Imran Tahir (c)","Did not bat: Shamar Joseph, Imran Tahir (c)",,,,,,,
Dwaine Pretorius,36,,4,1,,4.0,0.0,2.0,9.0,10.0,4.0,0.0
Romario Shepherd,20,,1,0,,3.0,0.0,0.0,6.66,6.0,0.0,0.0
Shamar Joseph,39,,3,1,,4.0,0.0,0.0,9.75,8.0,3.0,0.0
Imran Tahir,30,,1,3,,3.1,0.0,1.0,9.47,8.0,0.0,0.0
Gudakesh Motie,39,,2,3,,4.0,0.0,0.0,9.75,8.0,1.0,0.0
Chadwick Walton,80,57,6,4,140.35,,,,,,,
Mark Deyal,15,11,1,1,136.36,,,,,,,
Nicholas Pooran,33,24,2,2,137.50,,,,,,,
Kieron Pollard,23,15,2,1,153.33,,,,,,,
Andre Russell,1,2,0,0,50.00,,,,,,,
Andre Russell,17,,0,1,,2.0,0.0,0.0,8.5,5.0,2.0,0.0
Ali Khan,38,,4,2,,4.0,0.0,1.0,9.5,10.0,1.0,0.0
Akeal Hosein,28,,3,1,,3.0,0.0,1.0,9.33,9.0,0.0,0.0
Terrance Hinds,32,,3,1,,4.0,0.0,2.0,8.0,8.0,1.0,0.0
Dwayne Bravo,22,,2,0,,3.0,0.0,0.0,7.33,5.0,2.0,0.0
Waqar Salamkheil,28,,1,1,,4.0,0.0,2.0,7.0,11.0,1.0,0.0
