PLAYERS,R,B,4s,6s,SR,O,M,W,ECON,0s,WD,NB
Brandon King,7,8,0,1,87.50,,,,,,,
Alex Hales,17,16,2,1,106.25,,,,,,,
Kirk McKenzie,1,10,0,0,10.00,,,,,,,
Shamarh Brooks,19,18,0,1,105.55,,,,,,,
Imad Wasim,0,1,0,0,0.00,,,,,,,
Raymon Reifer,28,22,2,1,127.27,,,,,,,
Shamar Springer,38,27,2,2,140.74,,,,,,,
Fabian Allen,33,18,3,2,183.33,,,,,,,
Chris Green,9,3,2,0,300.00,,,,,,,
Mohammad Amir,19,,3,0,,3.3,0.0,4.0,5.42,11.0,0.0,0.0
Imad Wasim,25,,4,0,,4.0,0.0,3.0,6.25,13.0,1.0,0.0
Shamar Springer,12,,1,0,,2.0,0.0,1.0,6.0,4.0,0.0,0.0
Chris Green,23,,1,0,,4.0,0.0,1.0,5.75,9.0,1.0,0.0
Fabian Allen,26,,4,0,,3.0,0.0,0.0,8.66,7.0,0.0,0.0
Nicholson Gordon,10,,1,0,,1.0,0.0,0.0,10.0,0.0,0.0,0.0
Andre Fletcher,11,11,2,0,100.00,,,,,,,
Evin Lewis,2,5,0,0,40.00,,,,,,,
Will Smeed,13,14,1,0,92.85,,,,,,,
Yannic Cariah,65,40,8,0,162.50,,,,,,,
Sherfane Rutherford,1,3,0,0,33.33,,,,,,,
Corbin Bosch,10,22,1,0,45.45,,,,,,,
George Linde,11,7,2,0,157.14,,,,,,,
Benny Howell,0,1,0,0,0.00,,,,,,,
Sheldon Cottrell,0,0,0,0,-,,,,,,,
Oshane Thomas,0,2,0,0,0.00,,,,,,,
Ashmead Nedd,-,-,-,-,-,,,,,,,
Sheldon Cottrell,21,,2,1,,4.0,1.0,0.0,5.25,16.0,2.0,0.0
Ashmead Nedd,25,,1,2,,3.0,0.0,2.0,8.33,11.0,1.0,0.0
George Linde,33,,0,3,,4.0,0.0,2.0,8.25,9.0,1.0,0.0
Corbin Bosch,30,,3,1,,2.0,0.0,0.0,15.0,1.0,1.0,1.0
Benny Howell,12,,1,0,,2.0,0.0,0.0,6.0,4.0,0.0,0.0
Yannic Cariah,19,,2,1,,2.0,0.0,1.0,9.5,5.0,0.0,0.0
Oshane Thomas,33,,2,0,,3.0,0.0,1.0,11.0,4.0,7.0,2.0
