PLAYERS,R,B,4s,6s,SR,O,M,W,ECON,0s,WD,NB
Kirk McKenzie,3,12,0,0,25.00,,,,,,,
Alex Hales,119,57,12,7,208.77,,,,,,,
Steven Taylor,14,18,1,0,77.77,,,,,,,
Shamarh Brooks,13,8,1,1,162.50,,,,,,,
Imad Wasim,41,24,3,3,170.83,,,,,,,
Fabian Allen,1,1,0,0,100.00,,,,,,,
Mohammad Amir,7,,1,0,,2.0,0.0,2.0,3.5,8.0,0.0,0.0
Imad Wasim,24,,2,1,,4.0,1.0,2.0,6.0,14.0,1.0,0.0
Shamar Springer,14,,2,0,,1.0,0.0,0.0,14.0,3.0,1.0,0.0
Chris Green,15,,1,0,,4.0,0.0,4.0,3.75,14.0,1.0,0.0
Hayden Walsh,17,,0,1,,4.0,0.0,1.0,4.25,13.0,1.0,0.0
Leonardo Julien,7,10,1,0,70.00,,,,,,,
Roshon Primus,5,5,1,0,100.00,,,,,,,
Bhanuka Rajapaksa,22,15,3,1,146.66,,,,,,,
Roston Chase,5,8,0,0,62.50,,,,,,,
Sean Williams,0,1,0,0,0.00,,,,,,,
Sikandar Raza,3,8,0,0,37.50,,,,,,,
Colin Munro,4,9,0,0,44.44,,,,,,,
Alzarri Joseph,10,15,0,1,66.66,,,,,,,
Matthew Forde,13,14,1,0,92.85,,,,,,,
McKenny Clarke,0,2,0,0,0.00,,,,,,,
Jeavor Royal,0,3,0,0,0.00,,,,,,,
Matthew Forde,48,,6,2,,4.0,0.0,1.0,12.0,9.0,3.0,0.0
Jeavor Royal,30,,5,1,,3.0,0.0,0.0,10.0,8.0,0.0,0.0
McKenny Clarke,11,,2,0,,1.0,0.0,0.0,11.0,3.0,2.0,0.0
Alzarri Joseph,28,,2,1,,4.0,0.0,1.0,7.0,9.0,0.0,0.0
Roshon Primus,28,,2,2,,2.0,0.0,0.0,14.0,2.0,1.0,0.0
Sikandar Raza,20,,0,1,,3.0,0.0,0.0,6.66,5.0,1.0,0.0
Roston Chase,33,,0,4,,3.0,0.0,2.0,11.0,6.0,0.0,0.0
