PLAYERS,R,B,4s,6s,SR,O,M,W,ECON,0s,WD,NB
Martin Guptill,15,25,2,0,60.00,,,,,,,
Mark Deyal,30,23,1,3,130.43,,,,,,,
Nicholas Pooran,1,2,0,0,50.00,,,,,,,
Lorcan Tucker,30,27,2,2,111.11,,,,,,,
Kieron Pollard,33,27,1,2,122.22,,,,,,,
Andre Russell,1,5,0,0,20.00,,,,,,,
Kadeem Alleyne,7,3,0,1,233.33,,,,,,,
Akeal Hosein,3,4,0,0,75.00,,,,,,,
Sunil Narine,0,3,0,0,0.00,,,,,,,
Ali Khan,1,1,0,0,100.00,,,,,,,
Akeal Hosein,23,,3,1,,3.0,0.0,0.0,7.66,10.0,0.0,0.0
Andre Russell,34,,1,3,,4.0,0.0,3.0,8.5,10.0,0.0,0.0
Sunil Narine,26,,2,1,,4.0,0.0,2.0,6.5,10.0,0.0,0.0
Ali Khan,29,,4,0,,4.0,0.0,0.0,7.25,10.0,2.0,0.0
Waqar Salamkheil,21,,2,0,,4.0,0.0,2.0,5.25,12.0,1.0,0.0
Mark Deyal,4,,0,0,,1.0,0.0,0.0,4.0,2.0,0.0,0.0
Brandon King,36,25,4,2,144.00,,,,,,,
Alex Hales,21,23,3,0,91.30,,,,,,,
Jermaine Blackwood,1,4,0,0,25.00,,,,,,,
Shamarh Brooks,0,1,0,0,0.00,,,,,,,
Raymon Reifer,17,19,2,0,89.47,,,,,,,
Imad Wasim,19,24,2,0,79.16,,,,,,,
Fabian Allen,8,8,1,0,100.00,,,,,,,
Chris Green,32,16,0,3,200.00,,,,,,,
Mohammad Amir,0,0,0,0,-,,,,,,,
Mohammad Amir,20,,0,2,,4.0,1.0,3.0,5.0,16.0,1.0,0.0
Chris Green,19,,1,1,,2.0,0.0,0.0,9.5,7.0,2.0,0.0
Imad Wasim,19,,0,1,,4.0,0.0,1.0,4.75,12.0,1.0,0.0
Salman Irshad,28,,2,2,,4.0,0.0,1.0,7.0,14.0,1.0,0.0
Kelvin Pitman,27,,1,1,,4.0,0.0,3.0,6.75,8.0,2.0,0.0
Fabian Allen,20,,2,1,,2.0,0.0,0.0,10.0,4.0,1.0,0.0
