PLAYERS,R,B,4s,6s,SR,O,M,W,ECON,0s,WD,NB
Brandon King,8,7,0,1,114.28,,,,,,,
Amir Jangoo,13,16,0,1,81.25,,,,,,,
Jermaine Blackwood,29,35,1,0,82.85,,,,,,,
Shamarh Brooks,9,10,1,0,90.00,,,,,,,
Imad Wasim,62,33,6,3,187.87,,,,,,,
Fabian Allen,14,11,2,0,127.27,,,,,,,
Chris Green,4,5,0,0,80.00,,,,,,,
Raymon Reifer,0,1,0,0,0.00,,,,,,,
Mohammad Amir,5,2,1,0,250.00,,,,,,,
Mohammad Amir,19,,2,0,,3.0,0.0,0.0,6.33,6.0,0.0,0.0
Chris Green,29,,3,1,,4.0,0.0,1.0,7.25,11.0,0.0,0.0
Salman Irshad,21,,3,0,,3.0,0.0,0.0,7.0,7.0,0.0,0.0
Kelvin Pitman,17,,1,1,,1.2,0.0,0.0,12.75,0.0,0.0,0.0
Raymon Reifer,23,,2,1,,2.0,0.0,0.0,11.5,2.0,1.0,0.0
Imad Wasim,28,,2,3,,3.0,0.0,2.0,9.33,12.0,1.0,0.0
Fabian Allen,14,,1,1,,1.0,0.0,0.0,14.0,2.0,0.0,1.0
Martin Guptill,53,45,5,1,117.77,,,,,,,
Sunil Narine,15,6,2,1,250.00,,,,,,,
Nicholas Pooran,54,35,6,2,154.28,,,,,,,
Kieron Pollard,6,7,1,0,85.71,,,,,,,
Andre Russell,20,12,0,3,166.66,,,,,,,
"Did not bat: Lorcan Tucker, Akeal Hosein, Ali Khan, Waqar Salamkheil, Kadeem Alleyne, Jaden Carmichael","Did not bat: Lorcan Tucker †, Akeal Hosein, Ali Khan, Waqar Salamkheil, Kadeem Alleyne, Jaden Carmichael","Did not bat: Lorcan Tucker †, Akeal Hosein, Ali Khan, Waqar Salamkheil, Kadeem Alleyne, Jaden Carmichael","Did not bat: Lorcan Tucker †, Akeal Hosein, Ali Khan, Waqar Salamkheil, Kadeem Alleyne, Jaden Carmichael","Did not bat: Lorcan Tucker †, Akeal Hosein, Ali Khan, Waqar Salamkheil, Kadeem Alleyne, Jaden Carmichael","Did not bat: Lorcan Tucker †, Akeal Hosein, Ali Khan, Waqar Salamkheil, Kadeem Alleyne, Jaden Carmichael",,,,,,,
Jaden Carmichael,27,,1,2,,4.0,0.0,1.0,6.75,13.0,1.0,0.0
Akeal Hosein,10,,0,0,,3.0,0.0,1.0,3.33,10.0,0.0,0.0
Sunil Narine,29,,1,2,,4.0,0.0,2.0,7.25,13.0,1.0,0.0
Waqar Salamkheil,26,,2,1,,3.0,0.0,0.0,8.66,6.0,0.0,0.0
Andre Russell,29,,3,0,,3.0,0.0,0.0,9.66,2.0,1.0,0.0
Ali Khan,27,,4,0,,3.0,0.0,3.0,9.0,5.0,1.0,0.0
