PLAYERS,R,B,4s,6s,SR,O,M,W,ECON,0s,WD,NB
Evin Lewis,10,10,1,0,100.00,,,,,,,
Andre Fletcher,32,17,3,3,188.23,,,,,,,
Joshua Da Silva,18,14,2,0,128.57,,,,,,,
Jyd Goolie,11,17,0,0,64.70,,,,,,,
Sherfane Rutherford,62,38,4,5,163.15,,,,,,,
Corbin Bosch,30,21,3,1,142.85,,,,,,,
Dominic Drakes,6,3,1,0,200.00,,,,,,,
Sheldon Cottrell,27,,2,1,,3.0,0.0,0.0,9.0,6.0,2.0,0.0
Blessing Muzarabani,30,,2,2,,3.0,0.0,1.0,10.0,6.0,2.0,0.0
Corbin Bosch,22,,3,0,,3.0,0.0,3.0,7.33,7.0,0.0,0.0
Dominic Drakes,27,,4,1,,2.1,0.0,0.0,12.46,3.0,0.0,0.0
Kofi James,11,,0,1,,1.0,0.0,0.0,11.0,1.0,1.0,0.0
Izharulhaq Naveed,50,,0,6,,4.0,0.0,0.0,12.5,9.0,2.0,1.0
Sherfane Rutherford,12,,0,1,,1.0,0.0,0.0,12.0,0.0,1.0,0.0
Chadwick Walton,6,9,1,0,66.66,,,,,,,
Martin Guptill,7,8,0,0,87.50,,,,,,,
Nicholas Pooran,61,32,5,4,190.62,,,,,,,
Lorcan Tucker,36,31,3,1,116.12,,,,,,,
Kieron Pollard,37,16,0,5,231.25,,,,,,,
Andre Russell,23,8,2,2,287.50,,,,,,,
Akeal Hosein,30,,3,2,,3.0,0.0,0.0,10.0,8.0,0.0,0.0
Jayden Seales,20,,1,2,,2.0,0.0,0.0,10.0,6.0,1.0,0.0
Sunil Narine,24,,2,1,,4.0,0.0,3.0,6.0,11.0,0.0,0.0
Dwayne Bravo,43,,4,3,,4.0,0.0,2.0,10.75,10.0,2.0,0.0
Andre Russell,20,,1,0,,3.0,0.0,0.0,6.66,5.0,0.0,0.0
Ali Khan,37,,3,1,,4.0,0.0,0.0,9.25,8.0,2.0,0.0
