PLAYERS,R,B,4s,6s,SR,O,M,W,ECON,0s,WD,NB
Johnson Charles,13,14,3,0,92.85,,,,,,,
Colin Munro,1,5,0,0,20.00,,,,,,,
Bhanuka Rajapaksa,14,14,1,1,100.00,,,,,,,
Roston Chase,40,36,4,1,111.11,,,,,,,
Shadrack Descarte,4,11,0,0,36.36,,,,,,,
Alzarri Joseph,0,2,0,0,0.00,,,,,,,
Sikandar Raza,19,12,3,0,158.33,,,,,,,
Roshon Primus,5,8,0,0,62.50,,,,,,,
Matthew Forde,4,4,0,0,100.00,,,,,,,
Khary Pierre,13,8,2,0,162.50,,,,,,,
Peter Hatzoglou,9,6,1,0,150.00,,,,,,,
Peter Hatzoglou,18,,1,1,,2.0,0.0,0.0,9.0,4.0,1.0,0.0
Alzarri Joseph,28,,3,1,,3.0,0.0,0.0,9.33,6.0,2.0,0.0
Matthew Forde,23,,1,0,,4.0,0.0,4.0,5.75,12.0,2.0,0.0
Khary Pierre,26,,2,2,,2.2,0.0,1.0,11.14,5.0,1.0,0.0
Roston Chase,14,,1,0,,4.0,0.0,0.0,3.5,13.0,0.0,0.0
Sikandar Raza,12,,0,0,,2.0,0.0,0.0,6.0,4.0,1.0,0.0
Brandon King,30,19,3,2,157.89,,,,,,,
Alex Hales,24,17,3,1,141.17,,,,,,,
Steven Taylor,0,1,0,0,0.00,,,,,,,
Shamarh Brooks,6,7,1,0,85.71,,,,,,,
Raymon Reifer,30,32,1,1,93.75,,,,,,,
Imad Wasim,15,26,0,0,57.69,,,,,,,
Shamar Springer,3,2,0,0,150.00,,,,,,,
Mohammad Amir,4,,1,0,,0.3,0.0,0.0,8.0,2.0,0.0,0.0
Raymon Reifer,9,,1,0,,2.3,0.0,0.0,3.6,11.0,2.0,0.0
Imad Wasim,25,,1,1,,4.0,0.0,1.0,6.25,10.0,0.0,0.0
Chris Green,19,,3,0,,4.0,0.0,2.0,4.75,14.0,0.0,0.0
Shamar Springer,22,,3,0,,3.0,0.0,1.0,7.33,7.0,0.0,0.0
Nicholson Gordon,20,,3,0,,2.0,0.0,1.0,10.0,3.0,0.0,0.0
Fabian Allen,25,,2,1,,4.0,0.0,4.0,6.25,11.0,0.0,0.0
