PLAYERS,R,B,4s,6s,SR,O,M,W,ECON,0s,WD,NB
Colin Munro,10,10,2,0,100.00,,,,,,,
Johnson Charles,42,38,7,0,110.52,,,,,,,
Sean Williams,1,7,0,0,14.28,,,,,,,
Roston Chase,0,2,0,0,0.00,,,,,,,
Shadrack Descarte,43,31,1,3,138.70,,,,,,,
Sikandar Raza,22,17,1,2,129.41,,,,,,,
Roshon Primus,5,9,0,0,55.55,,,,,,,
Alzarri Joseph,8,6,1,0,133.33,,,,,,,
Matthew Forde,1,2,0,0,50.00,,,,,,,
Khary Pierre,18,,0,0,,4.0,0.0,2.0,4.5,11.0,2.0,0.0
Roston Chase,25,,1,2,,2.5,0.0,2.0,8.82,5.0,0.0,0.0
Sean Williams,23,,2,2,,1.0,0.0,0.0,23.0,1.0,1.0,0.0
Alzarri Joseph,24,,0,1,,4.0,0.0,0.0,6.0,10.0,2.0,0.0
Peter Hatzoglou,32,,2,2,,4.0,0.0,0.0,8.0,10.0,0.0,0.0
Sikandar Raza,28,,3,0,,4.0,0.0,2.0,7.0,12.0,1.0,0.0
Evin Lewis,1,4,0,0,25.00,,,,,,,
Andre Fletcher,93,64,6,5,145.31,,,,,,,
Will Smeed,2,5,0,0,40.00,,,,,,,
Jyd Goolie,5,7,0,0,71.42,,,,,,,
Sherfane Rutherford,17,16,1,1,106.25,,,,,,,
George Linde,9,10,0,1,90.00,,,,,,,
Corbin Bosch,12,12,1,0,100.00,,,,,,,
Dominic Drakes,1,1,0,0,100.00,,,,,,,
Ashmead Nedd,14,,2,0,,4.0,0.0,2.0,3.5,16.0,0.0,0.0
Corbin Bosch,36,,3,1,,4.0,0.0,1.0,9.0,8.0,3.0,0.0
Oshane Thomas,14,,1,0,,3.0,1.0,1.0,4.66,11.0,0.0,2.0
Dominic Drakes,14,,3,0,,1.0,0.0,0.0,14.0,1.0,0.0,0.0
George Linde,36,,2,2,,4.0,0.0,0.0,9.0,11.0,1.0,0.0
Benny Howell,31,,1,2,,4.0,0.0,2.0,7.75,8.0,1.0,0.0
