PLAYERS,R,B,4s,6s,SR,O,M,W,ECON,0s,WD,NB
Colin Munro,72,51,6,3,141.17,,,,,,,
Johnson Charles,13,13,2,0,100.00,,,,,,,
Roston Chase,32,31,3,1,103.22,,,,,,,
Sikandar Raza,8,8,0,0,100.00,,,,,,,
Sean Williams,34,17,4,1,200.00,,,,,,,
Matthew Forde,13,,1,0,,3.0,0.0,0.0,4.33,11.0,3.0,0.0
Roston Chase,25,,2,1,,3.0,0.0,1.0,8.33,6.0,1.0,0.0
Alzarri Joseph,42,,3,3,,3.5,0.0,2.0,10.95,14.0,3.0,2.0
Khary Pierre,19,,2,1,,2.0,0.0,0.0,9.5,4.0,0.0,0.0
Sikandar Raza,24,,2,0,,2.0,0.0,0.0,12.0,1.0,2.0,0.0
Peter Hatzoglou,32,,1,2,,4.0,0.0,0.0,8.0,7.0,1.0,0.0
Roshon Primus,13,,3,0,,1.0,0.0,0.0,13.0,2.0,0.0,0.0
Martin Guptill,16,15,1,1,106.66,,,,,,,
Mark Deyal,57,45,6,2,126.66,,,,,,,
Nicholas Pooran,15,11,2,1,136.36,,,,,,,
Lorcan Tucker,38,31,3,0,122.58,,,,,,,
Andre Russell,29,13,2,3,223.07,,,,,,,
"Did not bat: Kieron Pollard, Akeal Hosein, Sunil Narine, Ali Khan, Waqar Salamkheil, Jayden Seales","Did not bat: Kieron Pollard (c), Akeal Hosein, Sunil Narine, Ali Khan, Waqar Salamkheil, Jayden Seales","Did not bat: Kieron Pollard (c), Akeal Hosein, Sunil Narine, Ali Khan, Waqar Salamkheil, Jayden Seales","Did not bat: Kieron Pollard (c), Akeal Hosein, Sunil Narine, Ali Khan, Waqar Salamkheil, Jayden Seales","Did not bat: Kieron Pollard (c), Akeal Hosein, Sunil Narine, Ali Khan, Waqar Salamkheil, Jayden Seales","Did not bat: Kieron Pollard (c), Akeal Hosein, Sunil Narine, Ali Khan, Waqar Salamkheil, Jayden Seales",,,,,,,
Akeal Hosein,30,,3,1,,4.0,0.0,0.0,7.5,9.0,0.0,0.0
Jayden Seales,23,,2,1,,3.0,0.0,1.0,7.66,8.0,0.0,0.0
Sunil Narine,32,,2,1,,4.0,0.0,1.0,8.0,9.0,1.0,0.0
Waqar Salamkheil,23,,1,1,,4.0,0.0,1.0,5.75,11.0,0.0,0.0
Ali Khan,33,,5,0,,3.0,0.0,0.0,11.0,4.0,1.0,0.0
Andre Russell,24,,2,1,,2.0,0.0,0.0,12.0,3.0,3.0,0.0
