PLAYERS,R,B,4s,6s,SR,O,M,W,ECON,0s,WD,NB
Chadwick Walton,10,11,2,0,90.90,,,,,,,
Mark Deyal,16,9,2,1,177.77,,,,,,,
Nicholas Pooran,1,5,0,0,20.00,,,,,,,
Keacy Carty,38,45,2,1,84.44,,,,,,,
Kieron Pollard,0,4,0,0,0.00,,,,,,,
Akeal Hosein,1,2,0,0,50.00,,,,,,,
Andre Russell,3,5,0,0,60.00,,,,,,,
Dwayne Bravo,8,18,1,0,44.44,,,,,,,
Sunil Narine,1,4,0,0,25.00,,,,,,,
Ali Khan,1,2,0,0,50.00,,,,,,,
Waqar Salamkheil,1,4,0,0,25.00,,,,,,,
Akeal Hosein,21,,2,0,,4.0,0.0,1.0,5.25,11.0,0.0,0.0
Andre Russell,12,,2,0,,1.0,0.0,0.0,12.0,3.0,2.0,0.0
Sunil Narine,10,,0,0,,4.0,0.0,0.0,2.5,15.0,0.0,0.0
Waqar Salamkheil,26,,0,3,,3.0,0.0,0.0,8.66,8.0,0.0,0.0
Ali Khan,28,,2,2,,2.0,0.0,0.0,14.0,2.0,0.0,0.0
Saim Ayub,52,41,2,5,126.82,,,,,,,
Keemo Paul,11,11,2,0,100.00,,,,,,,
Shai Hope,32,32,2,0,100.00,,,,,,,
"Did not bat: Odean Smith, Shimron Hetmyer, Azam Khan, Romario Shepherd, Dwaine Pretorius, Gudakesh Motie, Imran Tahir, Ronsford Beaton","Did not bat: Odean Smith, Shimron Hetmyer, Azam Khan †, Romario Shepherd, Dwaine Pretorius, Gudakesh Motie, Imran Tahir (c), Ronsford Beaton","Did not bat: Odean Smith, Shimron Hetmyer, Azam Khan †, Romario Shepherd, Dwaine Pretorius, Gudakesh Motie, Imran Tahir (c), Ronsford Beaton","Did not bat: Odean Smith, Shimron Hetmyer, Azam Khan †, Romario Shepherd, Dwaine Pretorius, Gudakesh Motie, Imran Tahir (c), Ronsford Beaton","Did not bat: Odean Smith, Shimron Hetmyer, Azam Khan †, Romario Shepherd, Dwaine Pretorius, Gudakesh Motie, Imran Tahir (c), Ronsford Beaton","Did not bat: Odean Smith, Shimron Hetmyer, Azam Khan †, Romario Shepherd, Dwaine Pretorius, Gudakesh Motie, Imran Tahir (c), Ronsford Beaton",,,,,,,
Dwaine Pretorius,26,,2,1,,4.0,0.0,4.0,6.5,13.0,2.0,0.0
Romario Shepherd,17,,3,0,,3.0,0.0,1.0,5.66,10.0,0.0,0.0
Ronsford Beaton,30,,2,1,,3.1,0.0,1.0,9.47,8.0,5.0,0.0
Gudakesh Motie,7,,0,0,,4.0,1.0,2.0,1.75,17.0,0.0,0.0
Imran Tahir,8,,0,0,,4.0,0.0,2.0,2.0,18.0,1.0,0.0
