Player,Runs,HS,Ave,SR,100,50,0,4s,6s,Mdns,Wkts,Econ,5,10,Ct,St
A Athanaze,165.0,76.0,23.57,108.55,0.0,1.0,0.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
AB de Villiers,234.0,82.0,58.5,150.96,0.0,2.0,0.0,23.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
AD Hales,197.0,36.0,16.41,124.68,0.0,0.0,2.0,21.0,11.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
AJ Hosein,112.0,22.0,14.0,97.39,0.0,0.0,0.0,5.0,3.0,1.0,10.0,6.99,0.0,0.0,2.0,0.0
AR Nurse,447.0,40.0,17.88,116.4,0.0,0.0,0.0,26.0,24.0,0.0,28.0,7.61,0.0,0.0,22.0,0.0
Ahmed Shehzad,49.0,15.0,12.25,90.74,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Akeem Jordan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0
Azam Khan,435.0,64.0,25.58,126.45,0.0,4.0,0.0,27.0,30.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Azhar Mahmood,14.0,14.0,14.0,200.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,10.57,0.0,0.0,0.0,0.0
BMAJ Mendis,78.0,17.0,8.66,93.97,0.0,0.0,1.0,4.0,3.0,1.0,12.0,5.57,0.0,0.0,3.0,0.0
C Bosch,191.0,81.0,27.28,112.35,0.0,2.0,2.0,17.0,3.0,0.0,2.0,11.55,0.0,0.0,9.0,0.0
CD Barnwell,53.0,26.0,10.6,112.76,0.0,0.0,0.0,3.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
CJ Anderson,53.0,31.0,7.57,86.88,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CK Holder,4.0,4.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,10.07,0.0,0.0,0.0,0.0
CR Brathwaite,48.0,18.0,24.0,137.14,0.0,0.0,0.0,4.0,2.0,0.0,5.0,10.5,0.0,0.0,2.0,0.0
D Bishoo,8.0,8.0,0.0,160.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
D Ferreira,19.0,19.0,19.0,158.33,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
D Wiese,72.0,40.0,18.0,133.33,0.0,0.0,1.0,3.0,3.0,0.0,4.0,9.67,0.0,0.0,1.0,0.0
DA Miller,170.0,60.0,56.66,155.96,0.0,1.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
DC Drakes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.47,0.0,0.0,1.0,0.0
DC Thomas,14.0,7.0,7.0,140.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,0.0,0.0,3.0,1.0
DK Jacobs,8.0,8.0,8.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.5,0.0,0.0,0.0,0.0
DR Smith,1305.0,110.0,30.34,120.16,4.0,4.0,3.0,128.0,58.0,0.0,3.0,10.16,0.0,0.0,20.0,0.0
EJG Morgan,9.0,5.0,2.25,52.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
EMDY Munaweera,166.0,39.0,18.44,101.84,0.0,0.0,0.0,18.0,6.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0
GD Phillips,254.0,80.0,31.75,128.28,0.0,2.0,1.0,16.0,16.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0
HF Gurney,1.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.16,0.0,0.0,0.0,0.0
HM Amla,72.0,35.0,12.0,87.8,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
HR Walsh,86.0,30.0,17.2,110.25,0.0,0.0,0.0,3.0,5.0,1.0,34.0,8.08,1.0,0.0,15.0,0.0
HT Tector,57.0,47.0,19.0,98.27,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
I Khan,41.0,20.0,20.5,113.88,0.0,0.0,0.0,4.0,0.0,0.0,14.0,6.46,0.0,0.0,5.0,0.0
J Bishop,66.0,18.0,33.0,140.42,0.0,0.0,1.0,4.0,5.0,2.0,12.0,7.55,0.0,0.0,5.0,0.0
J Charles,845.0,58.0,25.6,120.54,0.0,4.0,2.0,87.0,30.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0
JB Lintott,7.0,2.0,3.5,43.75,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.2,0.0,0.0,2.0,0.0
JK Lalor,24.0,10.0,0.0,120.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,8.08,0.0,0.0,2.0,0.0
JL Carter,477.0,51.0,16.44,106.47,0.0,2.0,4.0,35.0,22.0,0.0,0.0,18.0,0.0,0.0,12.0,1.0
JO Holder,1057.0,69.0,18.22,131.46,0.0,2.0,7.0,73.0,60.0,9.0,87.0,7.6,0.0,0.0,52.0,0.0
JP Duminy,291.0,65.0,32.33,136.61,0.0,1.0,0.0,17.0,15.0,0.0,4.0,7.97,0.0,0.0,9.0,0.0
JP Greaves,143.0,57.0,17.87,101.41,0.0,1.0,2.0,17.0,2.0,0.0,1.0,7.5,0.0,0.0,7.0,0.0
KA Edwards,1.0,1.0,1.0,16.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KA Hope,120.0,55.0,24.0,109.09,0.0,1.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KA Pollard,1080.0,83.0,30.0,142.48,0.0,7.0,7.0,66.0,65.0,1.0,37.0,7.23,0.0,0.0,42.0,0.0
KAM Corbin,20.0,20.0,20.0,71.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KJ Harding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0
KO Wickham,19.0,10.0,9.5,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR Mayers,957.0,85.0,22.78,123.8,0.0,6.0,5.0,86.0,54.0,1.0,18.0,7.56,0.0,0.0,15.0,0.0
KS Williamson,172.0,47.0,17.2,89.11,0.0,0.0,1.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
LJ Evans,136.0,44.0,19.42,123.63,0.0,0.0,1.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
LS Boucher,101.0,62.0,33.66,116.09,0.0,1.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
M de Lange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0
MJ Guptill,116.0,73.0,16.57,105.45,0.0,1.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
MJ Santner,145.0,36.0,48.33,115.07,0.0,0.0,0.0,9.0,5.0,2.0,6.0,5.59,0.0,0.0,0.0,0.0
Misbah-ul-Haq,46.0,21.0,11.5,86.79,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Mohammad Amir,2.0,1.0,2.0,66.66,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.12,0.0,0.0,2.0,0.0
Mohammad Irfan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,7.13,0.0,0.0,1.0,0.0
Mujeeb Ur Rahman,35.0,19.0,35.0,145.83,0.0,0.0,0.0,4.0,2.0,1.0,10.0,6.11,0.0,0.0,1.0,0.0
N Pooran,635.0,81.0,24.42,157.17,0.0,2.0,3.0,42.0,47.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0
ND McKenzie,18.0,9.0,4.5,47.36,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
ND Stewart,31.0,13.0,7.75,155.0,0.0,0.0,3.0,1.0,3.0,0.0,1.0,8.92,0.0,0.0,3.0,0.0
NLTC Perera,12.0,6.0,4.0,80.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,12.0,0.0,0.0,3.0,0.0
NRJ Young,119.0,48.0,14.87,94.44,0.0,0.0,1.0,2.0,8.0,1.0,13.0,9.08,0.0,0.0,10.0,0.0
Najibullah Zadran,8.0,6.0,2.66,44.44,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
O Thomas,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,8.23,0.0,0.0,1.0,0.0
OC McCoy,19.0,10.0,6.33,100.0,0.0,0.0,0.0,2.0,1.0,0.0,20.0,9.0,0.0,0.0,5.0,0.0
PD Salt,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q de Kock,221.0,74.0,44.2,128.48,0.0,2.0,2.0,23.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Qais Ahmad,28.0,10.0,28.0,87.5,0.0,0.0,0.0,0.0,2.0,0.0,8.0,8.43,0.0,0.0,7.0,0.0
R Powell,193.0,67.0,32.16,169.29,0.0,1.0,1.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
R Rampaul,33.0,14.0,16.5,113.79,0.0,0.0,0.0,1.0,2.0,2.0,47.0,8.15,0.0,0.0,6.0,0.0
RA Clarke,58.0,54.0,58.0,103.57,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
RA Reifer,410.0,65.0,16.4,105.12,0.0,1.0,2.0,25.0,16.0,0.0,43.0,8.81,1.0,0.0,11.0,0.0
RA Wiggins,3.0,3.0,3.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0
RE van der Merwe,35.0,20.0,17.5,140.0,0.0,0.0,0.0,3.0,1.0,0.0,5.0,9.66,0.0,0.0,3.0,0.0
RJ Peterson,35.0,14.0,7.0,74.46,0.0,0.0,1.0,1.0,2.0,1.0,15.0,6.29,0.0,0.0,3.0,0.0
RL Chase,52.0,38.0,0.0,144.44,0.0,0.0,0.0,4.0,1.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0
RR Emrit,52.0,21.0,10.4,110.63,0.0,0.0,1.0,4.0,2.0,0.0,34.0,6.83,0.0,0.0,11.0,0.0
RR Simmonds,13.0,13.0,0.0,216.66,0.0,0.0,0.0,1.0,1.0,0.0,7.0,8.36,0.0,0.0,2.0,0.0
RRS Cornwall,435.0,102.0,25.58,154.8,1.0,1.0,2.0,27.0,42.0,0.0,12.0,8.51,0.0,0.0,1.0,0.0
RS Primus,17.0,14.0,5.66,77.27,0.0,0.0,0.0,1.0,0.0,0.0,5.0,7.89,0.0,0.0,1.0,0.0
Rashid Khan,60.0,26.0,10.0,113.2,0.0,0.0,2.0,3.0,4.0,1.0,11.0,6.85,0.0,0.0,2.0,0.0
S Lamichhane,19.0,10.0,9.5,100.0,0.0,0.0,2.0,2.0,0.0,1.0,8.0,6.5,0.0,0.0,1.0,0.0
S Sohal,39.0,22.0,19.5,105.4,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SD Hope,638.0,88.0,19.93,116.63,0.0,1.0,1.0,49.0,24.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0
SK Patel,70.0,54.0,17.5,92.1,0.0,1.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
SK Springer,79.0,21.0,11.28,92.94,0.0,0.0,1.0,4.0,2.0,0.0,5.0,8.95,0.0,0.0,2.0,0.0
SO Dowrich,93.0,37.0,13.28,90.29,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
SPD Smith,185.0,63.0,26.42,127.58,0.0,1.0,1.0,21.0,4.0,0.0,3.0,10.9,0.0,0.0,3.0,0.0
SR Taylor,125.0,37.0,17.85,107.75,0.0,0.0,0.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSJ Brooks,13.0,8.0,6.5,92.85,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ST Gabriel,1.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.16,0.0,0.0,0.0,0.0
Shakib Al Hasan,133.0,38.0,11.08,99.25,0.0,0.0,1.0,8.0,3.0,3.0,15.0,6.48,1.0,0.0,5.0,0.0
Shayan Jahangir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shoaib Malik,1271.0,81.0,38.51,120.47,0.0,9.0,1.0,83.0,35.0,3.0,10.0,6.79,0.0,0.0,10.0,0.0
T Webster,51.0,32.0,17.0,110.86,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
