Player,Runs,HS,Ave,SR,100,50,0,4s,6s,Mdns,Wkts,Econ,5,10,Ct,St
A Bramble,106.0,27.0,9.63,91.37,0.0,0.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0
A Zampa,2.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,7.07,0.0,0.0,2.0,0.0
AB Fudadin,199.0,54.0,28.42,104.73,0.0,1.0,1.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
AR Nedd,2.0,1.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.64,0.0,0.0,1.0,0.0
Ali Khan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.78,0.0,0.0,1.0,0.0
Azam Khan,224.0,54.0,20.36,155.55,0.0,1.0,1.0,20.0,16.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0
B Laughlin,1.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.52,0.0,0.0,2.0,0.0
BA King,801.0,132.0,27.62,132.61,1.0,5.0,4.0,75.0,44.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0
BJ Hodge,298.0,65.0,42.57,141.23,0.0,2.0,1.0,22.0,17.0,0.0,2.0,7.0,0.0,0.0,2.0,0.0
Babar Azam,79.0,23.0,15.8,83.15,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
C Hemraj,863.0,105.0,20.06,116.93,1.0,2.0,4.0,81.0,40.0,1.0,11.0,6.99,0.0,0.0,9.0,0.0
CA Ingram,19.0,13.0,9.5,70.37,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CA Lynn,454.0,86.0,45.4,133.13,0.0,3.0,0.0,28.0,27.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
CAK Walton,625.0,92.0,28.4,137.36,0.0,3.0,1.0,56.0,29.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0
CD Barnwell,407.0,37.0,17.69,122.96,0.0,0.0,4.0,22.0,23.0,0.0,7.0,10.72,0.0,0.0,14.0,0.0
CJ Green,105.0,28.0,8.75,105.0,0.0,0.0,1.0,8.0,2.0,5.0,32.0,6.15,0.0,0.0,18.0,0.0
CS Delport,126.0,37.0,18.0,112.5,0.0,0.0,1.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
D Bishoo,7.0,5.0,0.0,77.77,0.0,0.0,0.0,0.0,0.0,1.0,14.0,7.18,0.0,0.0,3.0,0.0
D Pretorius,76.0,27.0,12.66,124.59,0.0,0.0,2.0,5.0,3.0,0.0,20.0,7.1,0.0,0.0,2.0,0.0
D Ramdin,464.0,84.0,29.0,127.12,0.0,4.0,3.0,36.0,20.0,0.0,0.0,0.0,0.0,0.0,16.0,10.0
D Wiese,12.0,7.0,4.0,75.0,0.0,0.0,1.0,2.0,0.0,0.0,8.0,9.2,1.0,0.0,1.0,0.0
DR Smith,279.0,62.0,23.25,118.72,0.0,3.0,2.0,23.0,14.0,0.0,1.0,7.46,0.0,0.0,2.0,0.0
G Motie,67.0,22.0,13.4,101.51,0.0,0.0,1.0,4.0,4.0,3.0,29.0,7.16,0.0,0.0,11.0,0.0
G Singh,151.0,39.0,21.57,111.85,0.0,0.0,1.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
H Klaasen,118.0,61.0,39.33,137.2,0.0,1.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0
Hazratullah Zazai,7.0,7.0,3.5,70.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imran Tahir,55.0,9.0,6.11,110.0,0.0,0.0,3.0,3.0,2.0,5.0,91.0,6.25,0.0,0.0,10.0,0.0
J Blackwood,8.0,8.0,8.0,80.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JA Sinclair,41.0,14.0,41.0,117.14,0.0,0.0,0.0,3.0,2.0,0.0,8.0,6.92,0.0,0.0,3.0,0.0
JDS Neesham,130.0,35.0,21.66,104.83,0.0,0.0,0.0,8.0,4.0,0.0,8.0,9.04,0.0,0.0,4.0,0.0
JEC Franklin,203.0,60.0,50.75,133.55,0.0,1.0,0.0,10.0,12.0,0.0,1.0,9.63,0.0,0.0,8.0,0.0
JN Mohammed,777.0,66.0,33.78,108.82,0.0,3.0,2.0,50.0,30.0,0.0,0.0,7.2,0.0,0.0,22.0,0.0
K Magram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
K Santokie,8.0,5.0,8.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,33.0,6.99,0.0,0.0,5.0,0.0
K Sinclair,12.0,5.0,2.4,35.29,0.0,0.0,1.0,0.0,0.0,0.0,6.0,5.57,0.0,0.0,3.0,0.0
KA Anderson,53.0,47.0,26.5,115.21,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
KMA Paul,515.0,56.0,23.4,131.37,0.0,2.0,4.0,28.0,33.0,0.0,36.0,8.64,0.0,0.0,25.0,0.0
L Ronchi,415.0,70.0,29.64,143.1,0.0,3.0,2.0,37.0,18.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0
LMP Simmons,1029.0,97.0,41.16,114.07,0.0,8.0,3.0,85.0,43.0,0.0,0.0,8.92,0.0,0.0,9.0,0.0
