Player,Runs,HS,Ave,SR,100,50,0,4s,6s,Mdns,Wkts,Econ,5,10,Ct,St
A Zampa,3.0,3.0,3.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.5,0.0,0.0,3.0,0.0
AA Jangoo,124.0,30.0,13.77,80.51,0.0,0.0,1.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0
AC Voges,124.0,48.0,13.77,83.22,0.0,0.0,1.0,5.0,2.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0
AD Hales,217.0,119.0,36.16,146.62,1.0,0.0,0.0,26.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
AD Russell,1491.0,121.0,31.06,173.37,2.0,6.0,5.0,110.0,119.0,1.0,69.0,8.65,0.0,0.0,41.0,0.0
AI Ross,46.0,23.0,46.0,106.97,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AM McCarthy,321.0,61.0,20.06,122.05,0.0,2.0,4.0,20.0,18.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0
AMA Dewar,3.0,3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0
AP Richardson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.66,0.0,0.0,1.0,0.0
Ahmed Shehzad,79.0,28.0,13.16,96.34,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Asif Ali,118.0,47.0,14.75,111.32,0.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
BA King,710.0,104.0,33.8,139.21,1.0,5.0,1.0,78.0,32.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
C Lamont,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.8,0.0,0.0,0.0,0.0
C de Grandhomme,29.0,15.0,0.0,223.07,0.0,0.0,0.0,4.0,1.0,0.0,1.0,11.71,0.0,0.0,2.0,0.0
CA Lynn,167.0,52.0,20.87,126.51,0.0,1.0,0.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
CAK Walton,1278.0,97.0,22.42,112.3,0.0,6.0,4.0,115.0,56.0,0.0,0.0,0.0,0.0,0.0,33.0,4.0
CH Gayle,1695.0,116.0,38.52,137.46,4.0,8.0,4.0,118.0,124.0,0.0,9.0,7.05,0.0,0.0,16.0,0.0
CJ Green,172.0,32.0,12.28,149.56,0.0,0.0,1.0,13.0,9.0,1.0,28.0,6.64,0.0,0.0,17.0,0.0
CR Brathwaite,207.0,58.0,14.78,107.25,0.0,1.0,2.0,15.0,12.0,1.0,14.0,8.05,0.0,0.0,10.0,0.0
CS Baugh,73.0,32.0,14.6,104.28,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0
DA Miller,205.0,72.0,68.33,176.72,0.0,1.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DC Green,42.0,17.0,21.0,93.33,0.0,0.0,0.0,3.0,1.0,1.0,3.0,10.5,0.0,0.0,0.0,0.0
DE Bernard,57.0,24.0,8.14,95.0,0.0,0.0,1.0,4.0,3.0,0.0,12.0,6.53,0.0,0.0,3.0,0.0
DL Vettori,13.0,8.0,1.85,46.42,0.0,0.0,3.0,0.0,1.0,1.0,12.0,5.85,0.0,0.0,2.0,0.0
DP Hyatt,145.0,42.0,29.0,93.54,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DPMD Jayawardene,33.0,16.0,4.71,82.5,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
DR Smith,71.0,58.0,11.83,129.09,0.0,1.0,1.0,7.0,3.0,0.0,5.0,6.7,0.0,0.0,3.0,0.0
DW Steyn,3.0,2.0,3.0,75.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,6.81,0.0,0.0,1.0,0.0
FA Allen,263.0,50.0,16.43,131.5,0.0,1.0,1.0,16.0,16.0,0.0,15.0,8.19,0.0,0.0,9.0,0.0
FH Edwards,20.0,11.0,20.0,153.84,0.0,0.0,0.0,1.0,1.0,1.0,12.0,8.78,0.0,0.0,1.0,0.0
GD Phillips,1323.0,103.0,35.75,136.11,1.0,8.0,3.0,109.0,70.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0
GE Mathurin,5.0,3.0,0.0,83.33,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.31,0.0,0.0,0.0,0.0
GH Worker,88.0,46.0,17.6,108.64,0.0,0.0,1.0,4.0,5.0,0.0,2.0,9.15,0.0,0.0,1.0,0.0
H Miller,32.0,30.0,16.0,110.34,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
HR Walsh,15.0,15.0,15.0,250.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,7.2,0.0,0.0,0.0,0.0
Haider Ali,90.0,45.0,10.0,91.83,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
I Khan,30.0,20.0,10.0,93.75,0.0,0.0,1.0,2.0,1.0,0.0,9.0,6.0,0.0,0.0,1.0,0.0
IS Sodhi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0
Imad Wasim,625.0,63.0,24.03,126.51,0.0,2.0,2.0,48.0,27.0,5.0,61.0,6.2,0.0,0.0,11.0,0.0
J Blackwood,387.0,74.0,17.59,89.79,0.0,1.0,2.0,26.0,13.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
J Charles,225.0,53.0,28.12,138.88,0.0,1.0,0.0,28.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
J Glen,65.0,34.0,16.25,127.45,0.0,0.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
J Theron,67.0,18.0,9.57,111.66,0.0,0.0,1.0,3.0,4.0,0.0,22.0,8.2,0.0,0.0,8.0,0.0
JA Foo,111.0,22.0,13.87,144.15,0.0,0.0,1.0,8.0,6.0,0.0,0.0,16.0,0.0,0.0,11.0,0.0
JA Rudolph,26.0,18.0,8.66,78.78,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
JE Taylor,47.0,17.0,7.83,88.67,0.0,0.0,2.0,4.0,2.0,1.0,22.0,8.75,0.0,0.0,4.0,0.0
JL Jaggesar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.28,0.0,0.0,1.0,0.0
JM James,4.0,3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.83,0.0,0.0,1.0,0.0
JN Mohammed,15.0,10.0,7.5,62.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JW Dernbach,21.0,12.0,10.5,105.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,9.39,0.0,0.0,1.0,0.0
K Lewis,584.0,89.0,20.13,133.02,0.0,3.0,3.0,44.0,41.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0
K Pitman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.25,0.0,0.0,2.0,0.0
K Santokie,60.0,13.0,8.57,86.95,0.0,0.0,2.0,0.0,6.0,2.0,37.0,8.09,0.0,0.0,2.0,0.0
KAJ Roach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.37,0.0,0.0,1.0,0.0
KC Sangakkara,739.0,74.0,33.59,129.87,0.0,7.0,2.0,73.0,21.0,0.0,0.0,0.0,0.0,0.0,17.0,5.0
KOK Williams,8.0,4.0,8.0,72.72,0.0,0.0,0.0,1.0,0.0,1.0,32.0,8.77,0.0,0.0,1.0,0.0
KSA McKenzie,154.0,28.0,11.84,88.5,0.0,0.0,1.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
LMP Simmons,256.0,53.0,23.27,115.83,0.0,1.0,1.0,26.0,11.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
LRPL Taylor,220.0,60.0,55.0,125.0,0.0,2.0,0.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Litton Das,42.0,21.0,21.0,91.3,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
M Muralidaran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.8,0.0,0.0,0.0,0.0
M Pretorius,58.0,15.0,8.28,123.4,0.0,0.0,1.0,4.0,4.0,1.0,22.0,9.38,0.0,0.0,2.0,0.0
Mahmudullah,11.0,6.0,3.66,55.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.36,0.0,0.0,2.0,0.0
Mohammad Amir,5.0,5.0,1.25,100.0,0.0,0.0,3.0,1.0,0.0,3.0,32.0,6.63,0.0,0.0,3.0,0.0
Mohammad Nabi,36.0,31.0,36.0,180.0,0.0,0.0,0.0,1.0,4.0,0.0,6.0,6.54,0.0,0.0,2.0,0.0
Mohammad Sami,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.67,0.0,0.0,2.0,0.0
Mujeeb Ur Rahman,23.0,18.0,11.5,115.0,0.0,0.0,1.0,1.0,2.0,1.0,16.0,5.29,0.0,0.0,8.0,0.0
N Deonarine,36.0,18.0,9.0,87.8,0.0,0.0,0.0,4.0,1.0,0.0,1.0,8.66,0.0,0.0,0.0,0.0
NA Gordon,5.0,5.0,2.5,55.55,0.0,0.0,2.0,1.0,0.0,0.0,13.0,9.17,0.0,0.0,4.0,0.0
NE Bonner,358.0,47.0,19.88,87.96,0.0,0.0,1.0,27.0,9.0,0.0,0.0,9.5,0.0,0.0,7.0,0.0
NO Miller,7.0,2.0,7.0,43.75,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.24,0.0,0.0,1.0,0.0
NR Kirton,26.0,25.0,8.66,118.18,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O Thomas,6.0,2.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,9.61,0.0,0.0,4.0,0.0
OA Shah,77.0,42.0,15.4,84.61,0.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
OF Smith,16.0,10.0,0.0,84.21,0.0,0.0,0.0,0.0,1.0,0.0,5.0,9.03,0.0,0.0,2.0,0.0
PAS McSween,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0
R Powell,1337.0,84.0,24.3,125.3,0.0,5.0,4.0,74.0,89.0,0.0,17.0,10.52,0.0,0.0,41.0,0.0
RA Lewis,91.0,37.0,18.2,128.16,0.0,0.0,0.0,3.0,6.0,0.0,5.0,7.75,0.0,0.0,3.0,0.0
RA Reifer,371.0,62.0,26.5,116.66,0.0,1.0,2.0,29.0,14.0,0.0,4.0,10.56,0.0,0.0,5.0,0.0
S Badree,2.0,2.0,2.0,66.66,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.94,0.0,0.0,0.0,0.0
S Lamichhane,4.0,4.0,2.0,40.0,0.0,0.0,2.0,0.0,0.0,1.0,12.0,5.27,0.0,0.0,1.0,0.0
SA Jacobs,2.0,1.0,2.0,28.57,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.73,0.0,0.0,1.0,0.0
SK Springer,108.0,38.0,21.6,118.68,0.0,0.0,0.0,6.0,6.0,0.0,11.0,8.83,0.0,0.0,5.0,0.0
SR Taylor,34.0,14.0,8.5,85.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0
SSJ Brooks,641.0,109.0,27.86,133.54,1.0,1.0,5.0,51.0,27.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
Salman Irshad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.73,0.0,0.0,3.0,0.0
Shakib Al Hasan,221.0,54.0,24.55,105.23,0.0,1.0,2.0,19.0,4.0,0.0,14.0,7.02,0.0,0.0,5.0,0.0
TA Griffith,81.0,42.0,20.25,119.11,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TP Allen,42.0,19.0,10.5,123.52,0.0,0.0,1.0,2.0,2.0,0.0,2.0,12.0,0.0,0.0,2.0,0.0
V Permaul,13.0,5.0,4.33,43.33,0.0,0.0,1.0,0.0,0.0,2.0,11.0,6.49,0.0,0.0,2.0,0.0
VD Philander,44.0,23.0,22.0,258.82,0.0,0.0,0.0,2.0,4.0,0.0,9.0,6.79,0.0,0.0,0.0,0.0
Zahir Khan,7.0,6.0,2.33,100.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0,7.66,0.0,0.0,0.0,0.0
