Player,Runs,HS,Ave,SR,100,50,0,4s,6s,Mdns,Wkts,Econ,5,10,Ct,St
A Dananjaya,12.0,10.0,4.0,66.66,0.0,0.0,0.0,1.0,0.0,0.0,6.0,7.87,0.0,0.0,1.0,0.0
ADS Fletcher,507.0,93.0,36.21,123.96,0.0,4.0,1.0,51.0,19.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0
AM McCarthy,5.0,5.0,5.0,71.42,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP Devcich,143.0,50.0,17.87,136.19,0.0,1.0,0.0,16.0,4.0,0.0,2.0,8.53,0.0,0.0,4.0,0.0
AR Nedd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.81,0.0,0.0,0.0,0.0
AS Joseph,92.0,21.0,15.33,108.23,0.0,0.0,0.0,4.0,5.0,0.0,21.0,9.33,0.0,0.0,8.0,0.0
AT Rayudu,47.0,32.0,15.66,117.5,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Akeem Jordan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.16,0.0,0.0,1.0,0.0
Asif Ali,32.0,18.0,8.0,96.96,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
B Muzarabani,1.0,1.0,1.0,16.66,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.61,0.0,0.0,0.0,0.0
BA King,267.0,60.0,22.25,119.19,0.0,1.0,0.0,16.0,19.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
BAC Howell,3.0,2.0,1.5,60.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,9.18,0.0,0.0,3.0,0.0
BCJ Cutting,129.0,29.0,21.5,125.24,0.0,0.0,1.0,4.0,8.0,1.0,13.0,9.16,0.0,0.0,6.0,0.0
BJ Hodge,54.0,38.0,10.8,90.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
BR Dunk,155.0,34.0,19.37,109.15,0.0,0.0,0.0,8.0,5.0,0.0,1.0,10.87,0.0,0.0,3.0,0.0
BW Hilfenhaus,7.0,7.0,7.0,58.33,0.0,0.0,0.0,1.0,0.0,1.0,3.0,10.35,0.0,0.0,2.0,0.0
C Archibald,2.0,2.0,1.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.88,0.0,0.0,0.0,0.0
C Bosch,130.0,38.0,18.57,121.49,0.0,0.0,1.0,11.0,5.0,0.0,7.0,9.7,0.0,0.0,5.0,0.0
CA Lynn,138.0,34.0,17.25,107.81,0.0,0.0,1.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
CH Gayle,824.0,93.0,32.96,125.03,0.0,5.0,4.0,71.0,48.0,0.0,2.0,10.61,0.0,0.0,6.0,0.0
CR Brathwaite,502.0,64.0,16.19,142.2,0.0,1.0,3.0,31.0,32.0,1.0,36.0,8.24,0.0,0.0,20.0,0.0
D Brevis,125.0,32.0,20.83,154.32,0.0,0.0,0.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
D Jansen,43.0,23.0,10.75,107.5,0.0,0.0,0.0,4.0,1.0,1.0,4.0,8.08,0.0,0.0,1.0,0.0
