Player,Runs,HS,Ave,SR,100,50,0,4s,6s,Mdns,Wkts,Econ,5,10,Ct,St
ADS Fletcher,2310.0,84.0,28.51,118.52,0.0,12.0,2.0,180.0,108.0,0.0,0.0,10.0,0.0,0.0,58.0,13.0
AJ Hose,54.0,18.0,13.5,83.07,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AM McCarthy,18.0,7.0,9.0,81.81,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Joseph,110.0,29.0,13.75,120.87,0.0,0.0,4.0,9.0,6.0,2.0,39.0,7.3,0.0,0.0,17.0,0.0
AWJ Auguste,15.0,11.0,7.5,71.42,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
C Hemraj,37.0,37.0,37.0,142.3,0.0,0.0,0.0,3.0,3.0,0.0,0.0,7.5,0.0,0.0,1.0,0.0
C Lamont,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.25,0.0,0.0,2.0,0.0
C Munro,175.0,72.0,35.0,120.68,0.0,2.0,0.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C de Grandhomme,203.0,65.0,25.37,143.97,0.0,1.0,1.0,17.0,10.0,0.0,0.0,8.6,0.0,0.0,4.0,0.0
CA Ingram,144.0,52.0,28.8,130.9,0.0,1.0,0.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CB Sole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.33,0.0,0.0,1.0,0.0
CD Barnwell,83.0,27.0,16.6,97.64,0.0,0.0,0.0,2.0,4.0,0.0,0.0,12.0,0.0,0.0,4.0,0.0
CK Holder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.75,0.0,0.0,0.0,0.0
D Wiese,217.0,34.0,24.11,139.1,0.0,0.0,2.0,18.0,11.0,1.0,23.0,7.6,2.0,0.0,7.0,0.0
DA Miller,127.0,33.0,21.16,115.45,0.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DA Warner,220.0,72.0,31.42,111.67,0.0,1.0,1.0,19.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE Johnson,5.0,4.0,2.5,100.0,0.0,0.0,1.0,1.0,0.0,1.0,16.0,9.07,0.0,0.0,3.0,0.0
DJG Sammy,898.0,60.0,19.1,126.47,0.0,2.0,5.0,51.0,56.0,0.0,24.0,8.41,0.0,0.0,29.0,0.0
DS Smith,91.0,29.0,13.0,97.84,0.0,0.0,1.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DYA Davis,6.0,6.0,6.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.36,0.0,0.0,2.0,0.0
E Leie,2.0,2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.69,0.0,0.0,2.0,0.0
F du Plessis,721.0,120.0,37.94,154.72,2.0,3.0,2.0,59.0,38.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
FH Edwards,19.0,10.0,19.0,118.75,0.0,0.0,0.0,1.0,1.0,0.0,9.0,8.44,0.0,0.0,2.0,0.0
Fawad Ahmed,9.0,4.0,9.0,69.23,0.0,0.0,0.0,0.0,0.0,1.0,10.0,6.41,0.0,0.0,3.0,0.0
GC Viljoen,115.0,32.0,28.75,122.34,0.0,0.0,0.0,8.0,6.0,1.0,6.0,8.52,0.0,0.0,1.0,0.0
GD Elliott,27.0,12.0,13.5,128.57,0.0,0.0,0.0,1.0,2.0,0.0,0.0,11.14,0.0,0.0,1.0,0.0
GD Pope,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,5.33,0.0,0.0,1.0,0.0
GE Mathurin,12.0,12.0,6.0,70.58,0.0,0.0,2.0,1.0,0.0,0.0,8.0,6.48,0.0,0.0,1.0,0.0
H Davids,281.0,56.0,20.07,112.4,0.0,1.0,2.0,21.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
HH Gibbs,71.0,22.0,11.83,88.75,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
J Charles,1620.0,94.0,30.0,130.64,0.0,13.0,3.0,133.0,82.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0
J Glen,68.0,23.0,17.0,113.33,0.0,0.0,0.0,6.0,3.0,0.0,7.0,5.9,0.0,0.0,0.0,0.0
J McAllister,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0
J Royal,26.0,12.0,6.5,92.85,0.0,0.0,2.0,2.0,1.0,0.0,19.0,7.71,0.0,0.0,12.0,0.0
JA Morkel,16.0,8.0,3.2,64.0,0.0,0.0,4.0,1.0,1.0,0.0,5.0,8.4,0.0,0.0,0.0,0.0
JD Campbell,49.0,43.0,16.33,89.09,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
JD Ryder,69.0,29.0,13.8,88.46,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JE Taylor,38.0,17.0,19.0,122.58,0.0,0.0,0.0,1.0,3.0,1.0,21.0,8.5,0.0,0.0,1.0,0.0
JN Hamilton,9.0,9.0,9.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
K Alleyne,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,13.2,0.0,0.0,5.0,0.0
K Lesporis,133.0,50.0,16.62,111.76,0.0,1.0,0.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
K Pierre,13.0,13.0,0.0,162.5,0.0,0.0,0.0,2.0,0.0,0.0,9.0,6.93,0.0,0.0,5.0,0.0
K Ramsaran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.26,0.0,0.0,0.0,0.0
K Santokie,23.0,15.0,23.0,143.75,0.0,0.0,1.0,2.0,1.0,0.0,5.0,7.66,0.0,0.0,0.0,0.0
KA Pollard,330.0,104.0,47.14,159.42,1.0,1.0,1.0,20.0,22.0,0.0,4.0,9.7,0.0,0.0,5.0,0.0
KAJ Roach,14.0,9.0,7.0,82.35,0.0,0.0,1.0,0.0,1.0,0.0,4.0,9.85,0.0,0.0,5.0,0.0
KAR Hodge,48.0,21.0,8.0,100.0,0.0,0.0,2.0,5.0,1.0,0.0,4.0,8.72,0.0,0.0,4.0,0.0
KJ Cottoy,47.0,19.0,11.75,94.0,0.0,0.0,0.0,4.0,1.0,0.0,6.0,6.1,0.0,0.0,6.0,0.0
KK Peters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0
KMA Paul,84.0,39.0,16.8,161.53,0.0,0.0,2.0,1.0,9.0,0.0,7.0,10.71,0.0,0.0,5.0,0.0
KOK Williams,21.0,6.0,3.0,36.2,0.0,0.0,3.0,0.0,0.0,0.0,51.0,8.61,0.0,0.0,13.0,0.0
KP Pietersen,325.0,83.0,29.54,131.04,0.0,2.0,0.0,25.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR Mayers,153.0,23.0,10.2,104.79,0.0,0.0,2.0,7.0,8.0,0.0,8.0,8.34,0.0,0.0,4.0,0.0
KS Melius,20.0,12.0,6.66,90.9,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kamran Akmal,29.0,17.0,5.8,87.87,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAS Sebastien,63.0,33.0,31.5,94.02,0.0,0.0,1.0,7.0,0.0,0.0,1.0,8.57,0.0,0.0,1.0,0.0
LJA Julien,7.0,7.0,7.0,70.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LM Edward,6.0,6.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0
LMP Simmons,156.0,45.0,22.28,116.41,0.0,0.0,1.0,8.0,12.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0
LRPL Taylor,118.0,30.0,23.6,95.93,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LS Boucher,19.0,18.0,9.5,70.37,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
LS Lugg,13.0,13.0,13.0,61.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
M Clarke,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.8,0.0,0.0,4.0,0.0
M Deyal,391.0,78.0,17.77,127.36,0.0,1.0,4.0,36.0,18.0,0.0,7.0,8.11,0.0,0.0,12.0,0.0
M Matthew,35.0,21.0,8.75,152.17,0.0,0.0,0.0,3.0,2.0,0.0,5.0,9.08,0.0,0.0,2.0,0.0
M Morkel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.95,0.0,0.0,0.0,0.0
MEK Hussey,165.0,64.0,23.57,105.76,0.0,1.0,1.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
MJ McClenaghan,24.0,9.0,4.8,96.0,0.0,0.0,1.0,1.0,1.0,0.0,12.0,9.29,0.0,0.0,1.0,0.0
MN Samuels,130.0,54.0,16.25,113.04,0.0,1.0,0.0,6.0,8.0,0.0,1.0,7.9,0.0,0.0,3.0,0.0
MS Chapman,12.0,6.0,3.0,100.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0
MW Forde,51.0,15.0,10.2,110.86,0.0,0.0,0.0,4.0,2.0,2.0,15.0,6.7,0.0,0.0,3.0,0.0
Misbah-ul-Haq,104.0,49.0,17.33,101.96,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Nabi,156.0,35.0,19.5,124.8,0.0,0.0,0.0,9.0,9.0,1.0,12.0,5.1,1.0,0.0,8.0,0.0
Mohammad Sami,6.0,6.0,6.0,66.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.83,0.0,0.0,0.0,0.0
N Dickwella,101.0,36.0,12.62,118.82,0.0,0.0,1.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
NL McCullum,32.0,10.0,8.0,133.33,0.0,0.0,0.0,4.0,0.0,0.0,6.0,7.6,0.0,0.0,1.0,0.0
