Player,Runs,HS,Ave,SR,100,50,0,4s,6s,Mdns,Wkts,Econ,5,10,Ct,St
A Phillip,12.0,6.0,12.0,66.66,0.0,0.0,1.0,0.0,1.0,0.0,10.0,9.45,0.0,0.0,3.0,0.0
AA Jangoo,25.0,19.0,12.5,80.64,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AB Barath,135.0,38.0,22.5,91.21,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AD Russell,264.0,39.0,20.3,154.38,0.0,0.0,0.0,16.0,22.0,0.0,17.0,9.11,0.0,0.0,9.0,0.0
AJ Hosein,167.0,44.0,16.7,106.36,0.0,0.0,0.0,8.0,10.0,3.0,40.0,5.95,0.0,0.0,10.0,0.0
AP Devcich,32.0,25.0,16.0,100.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,6.53,0.0,0.0,2.0,0.0
AR Nurse,6.0,6.0,6.0,120.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.66,0.0,0.0,1.0,0.0
Ali Khan,23.0,8.0,4.6,95.83,0.0,0.0,0.0,2.0,1.0,1.0,50.0,8.5,0.0,0.0,7.0,0.0
BB McCullum,836.0,91.0,30.96,146.4,0.0,6.0,4.0,64.0,53.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
C Munro,2178.0,100.0,35.7,129.56,1.0,14.0,4.0,185.0,103.0,0.0,0.0,9.2,0.0,0.0,23.0,0.0
CA Ingram,41.0,25.0,13.66,91.11,0.0,0.0,0.0,4.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0
CA Lynn,121.0,46.0,13.44,132.96,0.0,0.0,1.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CAK Walton,122.0,80.0,30.5,111.92,0.0,1.0,1.0,11.0,4.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0
CJ Jordan,7.0,5.0,7.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,9.05,0.0,0.0,4.0,0.0
CS Delport,216.0,50.0,21.6,127.05,0.0,1.0,2.0,24.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
D Ramdin,935.0,59.0,31.16,115.0,0.0,5.0,3.0,68.0,32.0,0.0,0.0,0.0,0.0,0.0,34.0,7.0
DE Johnson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.2,0.0,0.0,0.0,0.0
DJ Bravo,974.0,67.0,21.64,132.51,0.0,2.0,4.0,60.0,59.0,1.0,110.0,8.58,1.0,0.0,47.0,0.0
DJ Jacobs,23.0,13.0,11.5,69.69,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DM Bravo,1824.0,94.0,31.44,117.98,0.0,11.0,3.0,94.0,117.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0
DM Dupavillon,12.0,7.0,12.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.39,0.0,0.0,2.0,0.0
DPMD Jayawardene,14.0,11.0,4.66,77.77,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DT Christian,12.0,8.0,6.0,66.66,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.28,0.0,0.0,2.0,0.0
DYA Davis,1.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.05,0.0,0.0,1.0,0.0
E Lewis,321.0,77.0,40.12,127.88,0.0,3.0,0.0,23.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FH Edwards,2.0,1.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,7.66,1.0,0.0,2.0,0.0
Fawad Ahmed,5.0,5.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,1.0,35.0,6.34,0.0,0.0,2.0,0.0
HM Amla,410.0,81.0,37.27,126.54,0.0,3.0,0.0,31.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hamza Tariq,28.0,18.0,14.0,80.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I Udana,47.0,25.0,23.5,151.61,0.0,0.0,0.0,2.0,5.0,0.0,11.0,9.69,1.0,0.0,1.0,0.0
J Botha,58.0,22.0,19.33,70.73,0.0,0.0,0.0,4.0,0.0,0.0,8.0,7.16,0.0,0.0,12.0,0.0
JC Carmichael,5.0,4.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0
JC Guillen,22.0,22.0,11.0,88.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JDS Neesham,75.0,33.0,18.75,127.11,0.0,0.0,1.0,10.0,1.0,0.0,11.0,11.1,0.0,0.0,7.0,0.0
JH Kallis,304.0,61.0,27.63,113.43,0.0,1.0,0.0,35.0,7.0,1.0,9.0,6.45,0.0,0.0,4.0,0.0
JN Mohammed,68.0,28.0,22.66,82.92,0.0,0.0,0.0,5.0,2.0,0.0,0.0,7.83,0.0,0.0,3.0,0.0
JNT Seales,2.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9.21,0.0,0.0,12.0,0.0
JPR Scantlebury-Searles,178.0,29.0,9.88,106.58,0.0,0.0,2.0,16.0,8.0,0.0,14.0,9.97,0.0,0.0,26.0,0.0
K Alleyne,9.0,7.0,4.5,180.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,3.0,0.0
K Lewis,5.0,3.0,2.5,26.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K Pierre,36.0,15.0,9.0,81.81,0.0,0.0,3.0,2.0,1.0,1.0,40.0,6.87,0.0,0.0,19.0,0.0
KA Pollard,1164.0,72.0,33.25,153.56,0.0,4.0,1.0,71.0,85.0,0.0,15.0,8.46,0.0,0.0,24.0,0.0
KJ O'Brien,376.0,90.0,25.06,122.87,0.0,3.0,1.0,22.0,22.0,0.0,9.0,7.91,0.0,0.0,8.0,0.0
KK Cooper,265.0,42.0,14.72,136.59,0.0,0.0,4.0,12.0,17.0,1.0,59.0,7.89,0.0,0.0,22.0,0.0
KU Carty,121.0,83.0,60.5,128.72,0.0,1.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Kamran Akmal,188.0,60.0,20.88,114.63,0.0,1.0,0.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
LJ Tucker,150.0,38.0,37.5,123.96,0.0,0.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
LJA Julien,20.0,17.0,6.66,66.66,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
LMP Simmons,979.0,96.0,31.58,130.53,0.0,9.0,4.0,79.0,57.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
LRPL Taylor,386.0,70.0,27.57,107.52,0.0,3.0,2.0,29.0,11.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
